SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HANDLE%
2022-23,A.J. Lawson,1630639.0,1610612742,14.477,3.5,DAL,230.0,6.3
2022-23,A.J. Lawson,1630639.0,1610612750,12.0,0.0,MIN,5.0,0.0
2022-23,AJ Green,1631260.0,1610612749,14.634,17.8,MIL,717.0,10.2
2022-23,AJ Griffin,1631100.0,1610612737,14.134,52.8,ATL,2916.0,7.7
2016-17,AJ Hammons,1627773.0,1610612742,15.291,5.0,DAL,320.0,6.1
2013-14,Aaron Brooks,201166.0,1610612743,13.563,136.3,DEN,1750.0,34.5
2013-14,Aaron Brooks,201166.0,1610612745,14.857,105.0,HOU,1419.0,29.9
2014-15,Aaron Brooks,201166.0,1610612741,15.767,392.1,CHI,3630.0,41.1
2015-16,Aaron Brooks,201166.0,1610612741,15.255,211.8,CHI,2181.0,38.2
2016-17,Aaron Brooks,201166.0,1610612754,15.92,166.3,IND,1746.0,35.9
2017-18,Aaron Brooks,201166.0,1610612750,15.615,35.4,MIN,382.0,35.6
2014-15,Aaron Gordon,203932.0,1610612753,15.134,34.2,ORL,1527.0,8.9
2015-16,Aaron Gordon,203932.0,1610612753,14.754,94.7,ORL,3726.0,10.3
2016-17,Aaron Gordon,203932.0,1610612753,14.712,124.1,ORL,4598.0,11.0
2017-18,Aaron Gordon,203932.0,1610612753,14.391,141.2,ORL,3943.0,14.9
2018-19,Aaron Gordon,203932.0,1610612753,15.138,180.8,ORL,5328.0,13.4
2019-20,Aaron Gordon,203932.0,1610612753,14.98,158.0,ORL,4091.0,15.5
2020-21,Aaron Gordon,203932.0,1610612743,15.139,35.8,DEN,1315.0,10.8
2020-21,Aaron Gordon,203932.0,1610612753,15.235,110.1,ORL,1488.0,29.1
2021-22,Aaron Gordon,203932.0,1610612743,14.895,146.7,DEN,4845.0,12.2
2022-23,Aaron Gordon,203932.0,1610612743,14.333,142.0,DEN,4227.0,14.1
2013-14,Aaron Gray,201189.0,1610612758,15.904,13.1,SAC,656.0,7.5
2013-14,Aaron Gray,201189.0,1610612761,16.027,0.8,TOR,37.0,8.1
2015-16,Aaron Harrison,1626151.0,1610612766,13.961,3.9,CHA,203.0,8.3
2016-17,Aaron Harrison,1626151.0,1610612766,15.353,1.5,CHA,34.0,17.2
2017-18,Aaron Harrison,1626151.0,1610612742,15.621,10.3,DAL,467.0,8.5
2018-19,Aaron Holiday,1628988.0,1610612754,13.928,78.4,IND,1355.0,24.9
2019-20,Aaron Holiday,1628988.0,1610612754,14.616,198.2,IND,3318.0,24.5
2020-21,Aaron Holiday,1628988.0,1610612754,13.419,80.1,IND,2499.0,14.3
2021-22,Aaron Holiday,1628988.0,1610612756,14.423,63.3,PHX,740.0,35.6
2021-22,Aaron Holiday,1628988.0,1610612764,15.48,89.3,WAS,1314.0,26.3
2022-23,Aaron Holiday,1628988.0,1610612737,14.311,90.7,ATL,1757.0,21.6
2017-18,Aaron Jackson,1628935.0,1610612745,15.985,4.8,HOU,65.0,27.7
2020-21,Aaron Nesmith,1630174.0,1610612738,14.78,21.4,BOS,1361.0,6.4
2021-22,Aaron Nesmith,1630174.0,1610612738,14.647,25.1,BOS,1169.0,8.8
2022-23,Aaron Nesmith,1630174.0,1610612754,13.975,73.6,IND,3790.0,8.3
2021-22,Aaron Wiggins,1630598.0,1610612760,14.268,44.2,OKC,2476.0,7.5
2022-23,Aaron Wiggins,1630598.0,1610612760,14.184,46.5,OKC,2683.0,7.3
2017-18,Abdel Nader,1627846.0,1610612738,15.366,24.1,BOS,1063.0,8.9
2018-19,Abdel Nader,1627846.0,1610612760,13.693,22.4,OKC,1470.0,6.7
2019-20,Abdel Nader,1627846.0,1610612760,14.318,29.3,OKC,1788.0,6.9
2020-21,Abdel Nader,1627846.0,1610612756,14.414,12.4,PHX,739.0,7.0
2021-22,Abdel Nader,1627846.0,1610612756,13.927,4.3,PHX,315.0,5.9
2019-20,Adam Mokoka,1629690.0,1610612741,14.7,2.7,CHI,227.0,4.9
2020-21,Adam Mokoka,1629690.0,1610612741,13.746,1.3,CHI,118.0,4.8
2019-20,Admiral Schofield,1629678.0,1610612764,14.158,12.1,WAS,766.0,6.7
2021-22,Admiral Schofield,1629678.0,1610612753,15.048,19.5,ORL,957.0,8.1
2022-23,Admiral Schofield,1629678.0,1610612753,15.128,21.7,ORL,915.0,9.4
2013-14,Adonis Thomas,203519.0,1610612753,15.533,0.7,ORL,45.0,6.0
2013-14,Adonis Thomas,203519.0,1610612755,12.962,0.6,PHI,26.0,10.7
2014-15,Adreian Payne,203940.0,1610612737,15.158,0.8,ATL,38.0,8.3
2014-15,Adreian Payne,203940.0,1610612750,15.672,35.5,MIN,1379.0,9.9
2015-16,Adreian Payne,203940.0,1610612750,15.51,31.0,MIN,953.0,12.6
2016-17,Adreian Payne,203940.0,1610612750,15.346,8.4,MIN,266.0,12.3
2017-18,Adreian Payne,203940.0,1610612753,14.667,1.8,ORL,84.0,8.8
2013-14,Al Harrington,1733.0,1610612764,15.645,20.2,WAS,986.0,7.9
2013-14,Al Horford,201143.0,1610612737,14.438,53.3,ATL,1900.0,11.7
2014-15,Al Horford,201143.0,1610612737,15.042,125.6,ATL,4503.0,11.1
2015-16,Al Horford,201143.0,1610612737,14.286,138.9,ATL,5319.0,11.0
2016-17,Al Horford,201143.0,1610612738,14.853,145.5,BOS,4393.0,13.4
2017-18,Al Horford,201143.0,1610612738,15.135,160.7,BOS,4513.0,14.1
2018-19,Al Horford,201143.0,1610612738,14.095,115.3,BOS,4054.0,12.1
2019-20,Al Horford,201143.0,1610612755,14.915,111.4,PHI,4164.0,10.8
2020-21,Al Horford,201143.0,1610612760,15.115,53.7,OKC,1599.0,13.3
2021-22,Al Horford,201143.0,1610612738,14.94,96.8,BOS,4002.0,9.7
2022-23,Al Horford,201143.0,1610612738,14.545,73.6,BOS,3929.0,7.7
2013-14,Al Jefferson,2744.0,1610612766,16.07,139.2,CHA,4893.0,10.6
2014-15,Al Jefferson,2744.0,1610612766,16.001,98.6,CHA,3845.0,9.6
2015-16,Al Jefferson,2744.0,1610612766,15.64,48.1,CHA,2164.0,8.5
2016-17,Al Jefferson,2744.0,1610612754,16.278,55.5,IND,1821.0,11.2
2017-18,Al Jefferson,2744.0,1610612754,16.0,28.2,IND,956.0,11.1
2013-14,Al-Farouq Aminu,202329.0,1610612740,15.728,88.4,NOP,3896.0,8.7
2014-15,Al-Farouq Aminu,202329.0,1610612742,14.95,52.3,DAL,2693.0,7.8
2015-16,Al-Farouq Aminu,202329.0,1610612757,14.993,103.7,POR,4716.0,8.8
2016-17,Al-Farouq Aminu,202329.0,1610612757,15.217,82.1,POR,3520.0,9.2
2017-18,Al-Farouq Aminu,202329.0,1610612757,15.196,81.6,POR,4170.0,7.7
2018-19,Al-Farouq Aminu,202329.0,1610612757,14.674,92.6,POR,4745.0,8.0
2019-20,Al-Farouq Aminu,202329.0,1610612753,15.219,20.7,ORL,775.0,10.5
2020-21,Al-Farouq Aminu,202329.0,1610612741,14.55,3.2,CHI,129.0,10.2
2020-21,Al-Farouq Aminu,202329.0,1610612753,15.379,20.4,ORL,736.0,10.8
2013-14,Alan Anderson,101187.0,1610612751,16.064,96.6,BKN,3350.0,10.8
2014-15,Alan Anderson,101187.0,1610612751,15.45,76.4,BKN,3385.0,8.8
2015-16,Alan Anderson,101187.0,1610612764,13.99,8.0,WAS,388.0,8.8
2016-17,Alan Anderson,101187.0,1610612746,15.972,12.2,LAC,605.0,7.6
2015-16,Alan Williams,1626210.0,1610612756,13.013,2.7,PHX,151.0,8.2
2016-17,Alan Williams,1626210.0,1610612756,13.763,23.1,PHX,1476.0,6.8
2017-18,Alan Williams,1626210.0,1610612756,15.468,3.2,PHX,141.0,8.8
2018-19,Alan Williams,1626210.0,1610612751,12.259,1.4,BKN,58.0,11.8
2013-14,Alec Burks,202692.0,1610612762,16.433,236.5,UTA,4178.0,20.7
2014-15,Alec Burks,202692.0,1610612762,16.262,84.6,UTA,1693.0,18.4
2015-16,Alec Burks,202692.0,1610612762,15.993,95.4,UTA,1540.0,23.2
2016-17,Alec Burks,202692.0,1610612762,15.903,55.1,UTA,1266.0,16.4
2017-18,Alec Burks,202692.0,1610612762,15.58,83.0,UTA,2093.0,15.3
2018-19,Alec Burks,202692.0,1610612739,16.079,92.3,CLE,1953.0,17.6
2018-19,Alec Burks,202692.0,1610612758,14.238,8.8,SAC,269.0,13.8
2018-19,Alec Burks,202692.0,1610612762,14.507,21.2,UTA,558.0,15.7
2019-20,Alec Burks,202692.0,1610612744,14.51,153.7,GSW,2884.0,22.0
2019-20,Alec Burks,202692.0,1610612755,15.109,48.8,PHI,750.0,25.8
2020-21,Alec Burks,202692.0,1610612752,15.55,110.9,NYK,2483.0,17.2
2021-22,Alec Burks,202692.0,1610612752,15.484,280.0,NYK,4585.0,23.7
2022-23,Alec Burks,202692.0,1610612765,14.319,87.4,DET,2341.0,15.6
2017-18,Alec Peters,1628409.0,1610612756,14.156,7.5,PHX,467.0,6.8
2020-21,Aleksej Pokusevski,1630197.0,1610612760,14.099,74.0,OKC,2319.0,13.6
2021-22,Aleksej Pokusevski,1630197.0,1610612760,14.569,86.1,OKC,2526.0,14.0
2022-23,Aleksej Pokusevski,1630197.0,1610612760,13.969,37.7,OKC,1473.0,11.0
2019-20,Alen Smailagic,1629346.0,1610612744,14.646,7.3,GSW,291.0,10.3
2020-21,Alen Smailagic,1629346.0,1610612744,14.299,4.1,GSW,184.0,9.4
2016-17,Alex Abrines,203518.0,1610612760,14.411,35.2,OKC,2172.0,6.7
2017-18,Alex Abrines,203518.0,1610612760,14.711,35.0,OKC,2256.0,6.3
2018-19,Alex Abrines,203518.0,1610612760,13.511,16.2,OKC,1245.0,5.8
2017-18,Alex Caruso,1627936.0,1610612747,13.843,77.7,LAL,1159.0,29.1
2018-19,Alex Caruso,1627936.0,1610612747,13.8,65.3,LAL,1108.0,25.6
2019-20,Alex Caruso,1627936.0,1610612747,14.062,114.8,LAL,2451.0,20.0
2020-21,Alex Caruso,1627936.0,1610612747,14.81,146.3,LAL,2463.0,24.1
2021-22,Alex Caruso,1627936.0,1610612741,14.594,113.8,CHI,2319.0,20.2
2022-23,Alex Caruso,1627936.0,1610612741,14.287,120.5,CHI,3200.0,15.8
2013-14,Alex Len,203458.0,1610612756,14.984,12.3,PHX,734.0,6.7
2014-15,Alex Len,203458.0,1610612756,14.485,48.5,PHX,3070.0,6.5
2015-16,Alex Len,203458.0,1610612756,14.834,78.2,PHX,3711.0,8.5
2016-17,Alex Len,203458.0,1610612756,14.076,50.8,PHX,3244.0,6.7
2017-18,Alex Len,203458.0,1610612756,14.337,54.4,PHX,2919.0,7.8
2018-19,Alex Len,203458.0,1610612737,13.631,64.6,ATL,3359.0,8.5
2019-20,Alex Len,203458.0,1610612737,14.134,35.8,ATL,1580.0,9.6
2019-20,Alex Len,203458.0,1610612758,14.175,6.9,SAC,480.0,6.1
2020-21,Alex Len,203458.0,1610612761,13.901,1.9,TOR,161.0,5.1
2020-21,Alex Len,203458.0,1610612764,13.354,29.3,WAS,1970.0,6.7
2021-22,Alex Len,203458.0,1610612758,14.012,23.2,SAC,1283.0,7.7
2022-23,Alex Len,203458.0,1610612758,13.024,6.2,SAC,354.0,8.1
2016-17,Alex Poythress,1627816.0,1610612755,14.513,7.1,PHI,316.0,9.3
2017-18,Alex Poythress,1627816.0,1610612754,16.127,3.3,IND,205.0,6.0
2018-19,Alex Poythress,1627816.0,1610612737,13.59,12.5,ATL,651.0,8.5
2013-14,Alexey Shved,203144.0,1610612750,15.392,64.4,MIN,1307.0,19.2
2014-15,Alexey Shved,203144.0,1610612745,13.225,7.4,HOU,129.0,26.0
2014-15,Alexey Shved,203144.0,1610612752,16.1,51.7,NYK,813.0,23.7
2014-15,Alexey Shved,203144.0,1610612755,14.547,46.3,PHI,574.0,33.3
2013-14,Alexis Ajinca,201582.0,1610612740,16.301,41.9,NOP,1804.0,8.5
2014-15,Alexis Ajinca,201582.0,1610612740,16.458,42.2,NOP,1794.0,8.6
2015-16,Alexis Ajinca,201582.0,1610612740,14.546,34.7,NOP,1720.0,8.3
2016-17,Alexis Ajinca,201582.0,1610612740,14.334,21.4,NOP,1181.0,7.6
2017-18,Alfonzo McKinnie,1628035.0,1610612761,13.85,2.0,TOR,113.0,7.7
2018-19,Alfonzo McKinnie,1628035.0,1610612744,13.784,34.8,GSW,2112.0,7.2
2019-20,Alfonzo McKinnie,1628035.0,1610612739,15.033,20.3,CLE,1218.0,6.7
2020-21,Alfonzo McKinnie,1628035.0,1610612747,14.58,9.0,LAL,548.0,6.8
2021-22,Alfonzo McKinnie,1628035.0,1610612741,15.217,6.2,CHI,411.0,5.9
2018-19,Alize Johnson,1628993.0,1610612754,13.259,3.2,IND,147.0,9.9
2019-20,Alize Johnson,1628993.0,1610612754,14.055,5.0,IND,253.0,8.4
2020-21,Alize Johnson,1628993.0,1610612751,14.671,12.3,BKN,386.0,13.0
2021-22,Alize Johnson,1628993.0,1610612740,13.175,1.8,NOP,63.0,13.0
2021-22,Alize Johnson,1628993.0,1610612741,16.152,6.0,CHI,230.0,9.7
2021-22,Alize Johnson,1628993.0,1610612764,16.303,0.8,WAS,33.0,8.9
2022-23,Alize Johnson,1628993.0,1610612759,12.839,2.1,SAS,62.0,15.8
2013-14,Allen Crabbe,203459.0,1610612757,15.092,3.6,POR,206.0,6.9
2014-15,Allen Crabbe,203459.0,1610612757,15.425,21.3,POR,1356.0,6.1
2015-16,Allen Crabbe,203459.0,1610612757,15.105,69.1,POR,4235.0,6.5
2016-17,Allen Crabbe,203459.0,1610612757,14.987,64.5,POR,4568.0,5.7
2017-18,Allen Crabbe,203459.0,1610612751,14.812,88.1,BKN,4519.0,7.9
2018-19,Allen Crabbe,203459.0,1610612751,14.481,32.1,BKN,2376.0,5.6
