SEASON,MINUTES_ON,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,PLAYER_NAME,OFF_POSS,BALL_HOG%
2014-15,132,201166,1610612741,17.679,27.6,CHI,Aaron Brooks,243.0,38.5
2016-17,7,201166,1610612754,15.933,0.6,IND,Aaron Brooks,15.0,15.1
2017-18,3,201166,1610612750,11.667,0.5,MIN,Aaron Brooks,6.0,42.9
2018-19,164,203932,1610612753,15.613,13.0,ORL,Aaron Gordon,320.0,15.6
2020-21,299,203932,1610612743,15.231,16.2,DEN,Aaron Gordon,603.0,10.6
2021-22,160,203932,1610612743,15.858,8.4,DEN,Aaron Gordon,318.0,10.0
2022-23,534,203932,1610612743,15.7,33.3,DEN,Aaron Gordon,1057.0,12.0
2015-16,7,1626151,1610612766,13.875,0.2,CHA,Aaron Harrison,16.0,5.4
2018-19,13,1628988,1610612754,13.786,1.5,IND,Aaron Holiday,28.0,23.3
2019-20,72,1628988,1610612754,15.26,4.8,IND,Aaron Holiday,146.0,12.9
2021-22,20,1628988,1610612756,12.0,2.5,PHX,Aaron Holiday,44.0,28.4
2022-23,4,1628988,1610612737,16.143,0.8,ATL,Aaron Holiday,7.0,42.5
2017-18,17,1628935,1610612745,15.528,2.9,HOU,Aaron Jackson,36.0,31.1
2020-21,75,1630174,1610612738,14.435,2.4,BOS,Aaron Nesmith,147.0,6.8
2021-22,52,1630174,1610612738,16.212,3.8,BOS,Aaron Nesmith,104.0,13.5
2017-18,33,1627846,1610612738,16.262,3.0,BOS,Abdel Nader,65.0,17.0
2018-19,5,1627846,1610612760,9.2,0.2,OKC,Abdel Nader,10.0,13.0
2019-20,25,1627846,1610612760,15.231,1.0,OKC,Abdel Nader,52.0,7.6
2020-21,29,1627846,1610612756,13.789,0.7,PHX,Abdel Nader,57.0,5.3
2013-14,59,1733,1610612764,15.086,2.1,WAS,Al Harrington,116.0,7.2
2014-15,522,201143,1610612737,14.715,26.8,ATL,Al Horford,1018.0,10.7
2015-16,327,201143,1610612737,14.095,17.9,ATL,Al Horford,656.0,11.6
2016-17,610,201143,1610612738,15.617,42.1,BOS,Al Horford,1172.0,13.8
2017-18,679,201143,1610612738,16.137,46.8,BOS,Al Horford,1308.0,13.3
2018-19,310,201143,1610612738,14.398,22.2,BOS,Al Horford,638.0,14.5
2019-20,128,201143,1610612755,16.141,5.6,PHI,Al Horford,255.0,8.2
2021-22,815,201143,1610612738,15.722,40.7,BOS,Al Horford,1602.0,9.7
2022-23,522,201143,1610612738,14.47,19.5,BOS,Al Horford,1096.0,7.4
2013-14,106,2744,1610612766,16.444,3.5,CHA,Al Jefferson,198.0,6.4
2015-16,168,2744,1610612766,16.857,8.0,CHA,Al Jefferson,307.0,9.3
