SEASON,MINUTES_ON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HOG%,AGE,EXP,POS_EST
2022-23,83,A.J. Lawson,1630639,1610612742,14.477,3.5,DAL,230,6.3,22,0,2.75
2022-23,2,A.J. Lawson,1630639,1610612750,12.0,0.0,MIN,5,0.0,22,0,2.99
2021-22,94,Bruno Fernando,1628981,1610612745,14.121,4.5,HOU,198,9.7,23,2,5.0
2021-22,58,Bruno Fernando,1628981,1610612738,13.843,2.7,BOS,134,8.7,23,2,4.88
2020-21,226,Bruno Fernando,1628981,1610612737,14.698,9.3,ATL,480,7.9,22,1,5.0
2019-20,713,Bruno Fernando,1628981,1610612737,14.477,31.6,ATL,1495,8.8,21,0,4.89
2022-23,20,Bruno Fernando,1628981,1610612737,12.911,1.6,ATL,88,8.4,24,3,5.0
2022-23,364,Bruno Fernando,1628981,1610612745,15.251,15.3,HOU,732,8.2,24,3,5.0
2022-23,754,Bryce McGowens,1631121,1610612766,14.117,34.7,CHA,1647,9.0,20,0,2.34
2021-22,956,Keita Bates-Diop,1628966,1610612759,14.157,31.2,SAS,1970,6.7,26,3,3.86
2020-21,245,Keita Bates-Diop,1628966,1610612759,14.512,10.1,SAS,512,8.2,25,2,3.15
2019-20,98,Keita Bates-Diop,1628966,1610612743,14.716,2.7,DEN,194,5.7,24,1,3.06
2019-20,646,Keita Bates-Diop,1628966,1610612750,14.51,24.5,MIN,1369,7.4,24,1,3.92
2018-19,503,Keita Bates-Diop,1628966,1610612750,14.91,16.3,MIN,1031,6.4,23,0,3.1
2022-23,1428,Keita Bates-Diop,1628966,1610612759,14.281,60.3,SAS,3043,8.3,27,4,3.61
2022-23,2356,Keegan Murray,1631099,1610612758,13.857,77.2,SAC,4937,6.8,22,0,3.12
2020-21,1773,Kawhi Leonard,202695,1610612746,15.164,218.2,LAC,3548,24.3,29,9,2.45
2019-20,1848,Kawhi Leonard,202695,1610612746,14.162,264.9,LAC,3810,29.5,28,8,2.6
2018-19,2040,Kawhi Leonard,202695,1610612761,14.192,242.3,TOR,4209,24.3,27,7,3.11
2017-18,210,Kawhi Leonard,202695,1610612759,15.397,29.2,SAS,418,27.2,26,6,3.02
2016-17,2475,Kawhi Leonard,202695,1610612759,15.775,259.0,SAS,4815,20.5,25,5,2.99
2015-16,2380,Kawhi Leonard,202695,1610612759,15.909,191.2,SAS,4633,15.6,24,4,3.04
2014-15,2033,Kawhi Leonard,202695,1610612759,15.463,150.2,SAS,3972,14.7,23,3,3.05
2013-14,1923,Kawhi Leonard,202695,1610612759,15.081,112.6,SAS,3803,11.8,22,2,3.13
2022-23,1711,Kawhi Leonard,202695,1610612746,15.166,204.2,LAC,3537,22.8,31,10,2.65
2021-22,2476,Karl-Anthony Towns,1626157,1610612750,14.193,167.3,MIN,5159,13.7,26,6,5.0
2020-21,1689,Karl-Anthony Towns,1626157,1610612750,14.361,123.3,MIN,3525,14.6,25,5,5.0
2019-20,1187,Karl-Anthony Towns,1626157,1610612750,13.949,81.3,MIN,2550,13.7,24,4,5.0
2018-19,2545,Karl-Anthony Towns,1626157,1610612750,14.699,186.7,MIN,5286,14.4,23,3,5.0
2017-18,2918,Karl-Anthony Towns,1626157,1610612750,15.662,165.8,MIN,5760,11.0,22,2,5.0
2016-17,3030,Karl-Anthony Towns,1626157,1610612750,15.63,185.0,MIN,5964,11.9,21,1,4.95
2015-16,2627,Karl-Anthony Towns,1626157,1610612750,14.867,135.5,MIN,5230,10.5,20,0,4.98
2022-23,921,Karl-Anthony Towns,1626157,1610612750,14.076,62.9,MIN,2014,13.3,27,7,4.35
2021-22,63,Kai Jones,1630539,1610612766,13.993,2.1,CHA,134,6.7,21,0,4.32
2022-23,533,Kai Jones,1630539,1610612766,14.481,19.2,CHA,1140,7.0,22,1,4.42
2022-23,80,Buddy Boeheim,1631205,1610612765,15.39,1.9,DET,182,4.1,23,0,3.69
2021-22,1579,Jusuf Nurkic,203994,1610612757,14.783,101.7,POR,3202,12.9,27,7,5.0
2020-21,880,Jusuf Nurkic,203994,1610612757,14.292,56.1,POR,1839,12.8,26,6,5.0
2019-20,253,Jusuf Nurkic,203994,1610612757,14.336,15.1,POR,530,11.9,25,5,4.99
2018-19,1974,Jusuf Nurkic,203994,1610612757,14.477,122.3,POR,4109,12.3,24,4,4.99
2017-18,2088,Jusuf Nurkic,203994,1610612757,15.113,128.3,POR,4206,12.1,23,3,5.0
2016-17,807,Jusuf Nurkic,203994,1610612743,14.679,47.5,DEN,1641,11.8,22,2,5.0
2016-17,584,Jusuf Nurkic,203994,1610612757,15.161,36.3,POR,1178,12.2,22,2,5.0
2015-16,547,Jusuf Nurkic,203994,1610612743,14.881,28.8,DEN,1084,10.7,21,1,5.0
2014-15,1103,Jusuf Nurkic,203994,1610612743,14.592,45.9,DEN,2213,8.5,20,0,4.99
2022-23,1391,Jusuf Nurkic,203994,1610612757,14.854,77.0,POR,2827,11.0,28,8,5.0
2021-22,480,Justise Winslow,1626159,1610612746,13.616,30.5,LAC,1013,13.3,26,6,4.12
2021-22,295,Justise Winslow,1626159,1610612757,14.848,18.2,POR,605,12.2,26,6,4.23
2020-21,507,Justise Winslow,1626159,1610612763,13.763,41.7,MEM,1075,16.9,25,5,3.13
2019-20,352,Justise Winslow,1626159,1610612748,14.3,,MIA,751,,24,4,2.62
2018-19,1960,Justise Winslow,1626159,1610612748,14.94,289.6,MIA,3981,29.2,23,3,3.35
2017-18,1680,Justise Winslow,1626159,1610612748,15.382,158.0,MIA,3317,18.6,22,2,3.58
2016-17,625,Justise Winslow,1626159,1610612748,15.314,60.0,MIA,1232,19.1,21,1,3.23
2015-16,2232,Justise Winslow,1626159,1610612748,15.609,115.3,MIA,4345,10.2,20,0,3.11
2022-23,776,Justise Winslow,1626159,1610612757,15.439,90.4,POR,1552,22.6,27,7,3.23
2021-22,925,Buddy Hield,1627741,1610612754,14.363,84.9,IND,1893,18.7,29,5,2.61
2021-22,1574,Buddy Hield,1627741,1610612758,14.381,98.9,SAC,3240,12.7,29,5,2.72
2020-21,2433,Buddy Hield,1627741,1610612758,14.241,175.8,SAC,5059,14.6,28,4,2.59
2019-20,2216,Buddy Hield,1627741,1610612758,14.333,212.5,SAC,4601,19.3,27,3,2.05
2018-19,2615,Buddy Hield,1627741,1610612758,13.334,186.1,SAC,5623,14.9,26,2,1.96
2017-18,2024,Buddy Hield,1627741,1610612758,15.499,140.6,SAC,3956,13.8,25,1,2.23
2016-17,727,Buddy Hield,1627741,1610612758,15.329,51.5,SAC,1434,14.1,24,0,2.54
2016-17,1161,Buddy Hield,1627741,1610612740,14.214,74.5,NOP,2373,13.3,24,0,2.27
2022-23,2458,Buddy Hield,1627741,1610612754,13.914,158.6,IND,5193,13.2,30,6,2.94
2021-22,641,Justin Holiday,203200,1610612758,14.162,19.3,SAC,1334,6.1,33,8,2.4
2021-22,1416,Justin Holiday,203200,1610612754,14.747,44.5,IND,2860,6.3,33,8,3.04
2020-21,2183,Justin Holiday,203200,1610612754,13.79,64.1,IND,4608,6.1,32,7,2.7
2019-20,1826,Justin Holiday,203200,1610612754,14.297,58.5,IND,3781,6.5,31,6,2.82
2018-19,1325,Justin Holiday,203200,1610612741,14.617,46.0,CHI,2713,7.0,30,5,2.37
2018-19,1282,Justin Holiday,203200,1610612763,15.248,53.7,MEM,2580,8.2,30,5,2.6
2017-18,2265,Justin Holiday,203200,1610612741,14.252,88.2,CHI,4674,7.9,29,4,2.07
2016-17,1639,Justin Holiday,203200,1610612752,15.027,71.9,NYK,3249,8.8,28,3,1.87
2015-16,262,Justin Holiday,203200,1610612737,14.431,8.8,ATL,522,7.0,27,2,2.01
2015-16,510,Justin Holiday,203200,1610612741,14.54,26.0,CHI,1025,10.5,27,2,1.87
2014-15,657,Justin Holiday,203200,1610612744,14.098,28.6,GSW,1333,9.1,26,1,2.19
2022-23,272,Justin Holiday,203200,1610612742,14.097,8.8,DAL,633,5.9,34,9,3.04
2022-23,411,Justin Holiday,203200,1610612737,14.099,12.7,ATL,857,6.3,34,9,2.86
2021-22,281,Justin Champagnie,1630551,1610612761,15.215,7.9,TOR,573,5.4,20,0,2.25
2022-23,11,Justin Champagnie,1630551,1610612761,15.238,0.3,TOR,21,5.6,21,1,3.45
2022-23,4,Justin Champagnie,1630551,1610612738,17.714,1.3,BOS,45,9.8,21,1,2.57
2021-22,2544,Julius Randle,203944,1610612752,15.449,294.6,NYK,5112,22.4,27,7,4.06
2020-21,2667,Julius Randle,203944,1610612752,15.397,332.8,NYK,5330,24.3,26,6,4.04
2019-20,2080,Julius Randle,203944,1610612752,14.913,202.5,NYK,4238,19.2,25,5,4.05
2018-19,2232,Julius Randle,203944,1610612740,13.711,208.6,NOP,4756,19.2,24,4,4.27
2017-18,2190,Julius Randle,203944,1610612747,14.009,182.3,LAL,4511,17.3,23,3,4.49
2016-17,2132,Julius Randle,203944,1610612747,14.68,179.7,LAL,4373,16.8,22,2,4.33
2015-16,2286,Julius Randle,203944,1610612747,15.685,190.1,LAL,4557,16.0,21,1,4.25
2014-15,14,Julius Randle,203944,1610612747,17.5,0.9,LAL,24,12.9,20,0,4.97
2022-23,2739,Julius Randle,203944,1610612752,15.472,267.3,NYK,5505,18.8,28,8,4.04
2022-23,279,Julian Champagnie,1630577,1610612759,14.254,8.3,SAS,671,5.2,21,0,3.04
2022-23,7,Julian Champagnie,1630577,1610612755,18.273,0.1,PHI,11,3.0,21,0,3.95
2021-22,2392,Keldon Johnson,1629640,1610612759,14.001,137.3,SAS,4956,11.9,22,2,3.56
2020-21,1968,Keldon Johnson,1629640,1610612759,14.955,102.8,SAS,4036,10.2,21,1,3.09
2019-20,301,Keldon Johnson,1629640,1610612759,13.23,13.1,SAS,657,9.0,20,0,3.04
2022-23,2063,Keldon Johnson,1629640,1610612759,14.289,173.6,SAS,4312,16.9,23,3,2.84
2021-22,1267,CJ McCollum,203468,1610612757,14.891,161.5,POR,2550,25.5,30,8,2.05
2021-22,878,CJ McCollum,203468,1610612740,14.699,147.7,NOP,1778,33.9,30,8,1.58
2020-21,1600,CJ McCollum,203468,1610612757,14.744,244.5,POR,3288,30.3,29,7,1.83
2019-20,2556,CJ McCollum,203468,1610612757,14.743,349.3,POR,5309,26.8,28,6,1.92
2018-19,2375,CJ McCollum,203468,1610612757,14.629,237.3,POR,4935,19.7,27,5,2.33
2017-18,2923,CJ McCollum,203468,1610612757,15.325,360.6,POR,5860,24.1,26,4,1.99
2016-17,2796,CJ McCollum,203468,1610612757,15.091,379.8,POR,5619,26.9,25,3,1.73
2015-16,2780,CJ McCollum,203468,1610612757,15.215,422.1,POR,5573,29.9,24,2,1.66
2014-15,973,CJ McCollum,203468,1610612757,15.376,75.8,POR,1922,15.4,23,1,1.99
2013-14,476,CJ McCollum,203468,1610612757,15.339,36.1,POR,939,15.0,22,0,1.93
2022-23,2610,CJ McCollum,203468,1610612740,14.43,410.4,NOP,5406,31.6,31,9,1.5
2021-22,764,Kelly Olynyk,203482,1610612765,14.528,58.7,DET,1580,15.3,31,8,5.0
2020-21,1157,Kelly Olynyk,203482,1610612748,14.731,49.3,MIA,2349,8.5,30,7,5.0
2020-21,840,Kelly Olynyk,203482,1610612745,14.068,65.7,HOU,1789,15.7,30,7,4.48
2019-20,1300,Kelly Olynyk,203482,1610612748,14.545,67.5,MIA,2703,10.3,29,6,5.0
2018-19,1812,Kelly Olynyk,203482,1610612748,15.072,101.8,MIA,3679,11.0,28,5,4.16
2017-18,1779,Kelly Olynyk,203482,1610612748,15.378,125.3,MIA,3504,14.0,27,4,4.62
2016-17,1538,Kelly Olynyk,203482,1610612738,14.999,88.9,BOS,3094,11.5,26,3,4.91
2015-16,1395,Kelly Olynyk,203482,1610612738,14.147,76.8,BOS,2895,11.3,25,2,4.86
2014-15,1423,Kelly Olynyk,203482,1610612738,14.063,73.2,BOS,2889,10.8,24,1,4.9
2013-14,1400,Kelly Olynyk,203482,1610612738,15.163,65.7,BOS,2770,9.4,23,0,4.95
2022-23,1917,Kelly Olynyk,203482,1610612762,14.518,135.7,UTA,4014,14.0,32,9,4.52
2021-22,1665,Kevin Love,201567,1610612739,15.211,98.4,CLE,3406,11.4,33,13,4.67
2020-21,622,Kevin Love,201567,1610612739,15.446,38.5,CLE,1264,11.8,32,12,4.26
2019-20,1780,Kevin Love,201567,1610612739,15.398,109.9,CLE,3655,11.7,31,11,4.26
2018-19,598,Kevin Love,201567,1610612739,15.153,38.5,CLE,1219,12.5,30,10,4.09
2017-18,1651,Kevin Love,201567,1610612739,14.969,85.0,CLE,3337,10.2,29,9,4.84
2016-17,1885,Kevin Love,201567,1610612739,15.037,103.5,CLE,3795,10.9,28,8,4.14
2015-16,2425,Kevin Love,201567,1610612739,15.945,140.4,CLE,4660,11.3,27,7,4.08
2014-15,2532,Kevin Love,201567,1610612739,15.811,135.6,CLE,4884,10.5,26,6,4.05
2013-14,2797,Kevin Love,201567,1610612750,14.554,213.2,MIN,5765,15.2,25,5,4.27
2022-23,821,Kevin Love,201567,1610612739,15.477,47.2,CLE,1666,11.0,34,14,4.05
2022-23,410,Kevin Love,201567,1610612748,15.126,22.8,MIA,834,10.8,34,14,4.2
2021-22,2188,Kevin Huerter,1628989,1610612737,14.649,132.4,ATL,4489,12.1,23,3,2.46
2020-21,2126,Kevin Huerter,1628989,1610612737,14.794,142.1,ATL,4324,13.3,22,2,2.04
2019-20,1760,Kevin Huerter,1628989,1610612737,13.992,123.7,ATL,3743,14.2,21,1,2.17
2018-19,2048,Kevin Huerter,1628989,1610612737,13.856,98.6,ATL,4391,9.7,20,0,2.22
2022-23,2182,Kevin Huerter,1628989,1610612758,13.875,122.2,SAC,4554,11.6,24,4,2.31
2021-22,2047,Kevin Durant,201142,1610612751,14.173,241.6,BKN,4253,24.0,33,13,3.97
2020-21,1157,Kevin Durant,201142,1610612751,13.651,125.5,BKN,2431,22.7,32,12,4.45
2018-19,2702,Kevin Durant,201142,1610612744,13.237,325.7,GSW,5714,25.8,30,11,3.89
2017-18,2325,Kevin Durant,201142,1610612744,13.418,265.0,GSW,4863,24.4,29,10,3.5
2016-17,2070,Kevin Durant,201142,1610612744,13.247,168.7,GSW,4353,17.6,28,9,4.21
2015-16,2578,Kevin Durant,201142,1610612760,14.207,258.2,OKC,5240,20.8,27,8,3.26
2014-15,913,Kevin Durant,201142,1610612760,14.165,82.8,OKC,1856,18.9,26,7,3.27
2013-14,3122,Kevin Durant,201142,1610612760,14.337,318.2,OKC,6270,21.2,25,6,3.22
2022-23,269,Kevin Durant,201142,1610612756,14.891,22.9,PHX,541,17.1,34,14,4.02
2022-23,1403,Kevin Durant,201142,1610612751,14.431,165.4,BKN,2864,24.0,34,14,4.35
2021-22,987,Kessler Edwards,1630556,1610612751,14.726,30.9,BKN,2017,6.2,21,0,3.54
2022-23,297,Kessler Edwards,1630556,1610612758,14.299,9.4,SAC,622,6.3,22,1,2.8
2022-23,79,Kessler Edwards,1630556,1610612751,14.31,3.3,BKN,171,8.1,22,1,3.64
2021-22,135,Keon Johnson,1630553,1610612746,13.482,12.2,LAC,280,19.4,20,0,1.58
2021-22,562,Keon Johnson,1630553,1610612757,15.059,68.7,POR,1132,24.2,20,0,2.1
2022-23,416,Keon Johnson,1630553,1610612757,14.923,75.5,POR,865,35.1,21,1,1.35
2022-23,57,Keon Ellis,1631165,1610612758,14.322,4.0,SAC,143,11.7,23,0,2.29
2021-22,1656,Kenyon Martin Jr.,1630231,1610612745,14.606,67.3,HOU,3436,8.0,21,1,3.87
2020-21,1068,Kenyon Martin Jr.,1630231,1610612745,14.358,36.2,HOU,2233,6.8,20,0,3.63
2022-23,2272,Kenyon Martin Jr.,1630231,1610612745,15.018,73.0,HOU,4751,6.1,22,2,3.15
2021-22,298,Brook Lopez,201572,1610612749,14.272,7.9,MIL,618,5.4,34,13,5.0
2020-21,1902,Brook Lopez,201572,1610612749,13.344,46.4,MIL,4030,5.2,33,12,5.0
2019-20,1817,Brook Lopez,201572,1610612749,13.109,55.6,MIL,3974,6.4,32,11,5.0
2018-19,2322,Brook Lopez,201572,1610612749,13.503,73.5,MIL,4970,6.6,31,10,5.0
2017-18,1735,Brook Lopez,201572,1610612747,13.879,80.1,LAL,3627,9.5,30,9,5.0
2016-17,2222,Brook Lopez,201572,1610612751,13.937,128.3,BKN,4706,11.7,29,8,5.0
2015-16,2457,Brook Lopez,201572,1610612751,15.277,127.2,BKN,4868,10.3,28,7,5.0
2014-15,2101,Brook Lopez,201572,1610612751,15.553,82.5,BKN,4059,7.8,27,6,5.0
2013-14,533,Brook Lopez,201572,1610612751,15.609,22.6,BKN,1018,8.5,26,5,5.0
2022-23,2373,Brook Lopez,201572,1610612749,14.237,63.9,MIL,4948,5.4,35,14,5.0
2021-22,2329,Kentavious Caldwell-Pope,203484,1610612764,15.1,125.1,WAS,4725,10.5,29,8,2.47
2020-21,1902,Kentavious Caldwell-Pope,203484,1610612747,14.893,76.5,LAL,3870,8.0,28,7,2.59
2019-20,1762,Kentavious Caldwell-Pope,203484,1610612747,14.156,65.0,LAL,3676,7.5,27,6,2.72
2018-19,2035,Kentavious Caldwell-Pope,203484,1610612747,13.803,95.7,LAL,4325,9.6,26,5,1.83
2017-18,2458,Kentavious Caldwell-Pope,203484,1610612747,13.859,122.4,LAL,5098,10.4,25,4,2.03
2016-17,2529,Kentavious Caldwell-Pope,203484,1610612765,15.022,117.2,DET,5002,9.4,24,3,2.0
2015-16,2789,Kentavious Caldwell-Pope,203484,1610612765,15.122,119.9,DET,5531,8.6,23,2,2.0
2014-15,2587,Kentavious Caldwell-Pope,203484,1610612765,15.65,111.8,DET,5023,8.5,22,1,2.19
2013-14,1582,Kentavious Caldwell-Pope,203484,1610612765,15.033,54.5,DET,3136,6.9,21,0,1.97
2022-23,2381,Kentavious Caldwell-Pope,203484,1610612743,14.441,94.5,DEN,4905,8.0,30,9,1.78
2021-22,1072,Kenrich Williams,1629026,1610612760,14.555,57.6,OKC,2159,11.0,27,3,2.91
2020-21,1426,Kenrich Williams,1629026,1610612760,14.317,88.1,OKC,2991,12.3,26,2,3.18
2019-20,832,Kenrich Williams,1629026,1610612740,13.802,29.9,NOP,1752,7.4,25,1,3.59
2018-19,1079,Kenrich Williams,1629026,1610612740,13.926,45.7,NOP,2327,8.5,24,0,2.98
2022-23,1206,Kenrich Williams,1629026,1610612760,14.006,51.6,OKC,2492,8.9,28,4,3.55
2021-22,1774,Bruce Brown,1628971,1610612751,14.824,108.3,BKN,3605,12.2,25,3,2.83
2020-21,1451,Bruce Brown,1628971,1610612751,14.411,71.4,BKN,2929,10.1,24,2,1.69
2019-20,1634,Bruce Brown,1628971,1610612765,15.641,240.7,DET,3240,28.5,23,1,1.47
2018-19,1449,Bruce Brown,1628971,1610612765,15.718,71.8,DET,2886,9.5,22,0,2.47
2022-23,2248,Bruce Brown,1628971,1610612743,14.891,243.2,DEN,4609,21.3,26,4,2.68
2022-23,136,Kenneth Lofton Jr.,1631254,1610612763,14.807,10.9,MEM,363,12.2,20,0,4.55
2020-21,1650,Kendrick Nunn,1629134,1610612748,15.038,156.2,MIA,3279,19.0,25,1,1.0
2019-20,1963,Kendrick Nunn,1629134,1610612748,14.945,231.8,MIA,3982,23.4,24,0,1.0
2022-23,414,Kendrick Nunn,1629134,1610612764,15.137,50.2,WAS,891,22.3,27,2,2.07
2022-23,528,Kendrick Nunn,1629134,1610612747,13.998,44.5,LAL,1141,16.7,27,2,1.99
2022-23,40,Kendall Brown,1631112,1610612754,12.223,1.1,IND,94,5.7,20,0,2.46
2021-22,948,Kemba Walker,202689,1610612752,15.447,183.9,NYK,1923,37.1,31,9,1.0
2020-21,1369,Kemba Walker,202689,1610612738,14.677,241.7,BOS,2785,35.5,30,8,1.0
2019-20,1742,Kemba Walker,202689,1610612738,14.619,330.6,BOS,3586,37.8,29,7,1.0
2018-19,2863,Kemba Walker,202689,1610612766,14.894,617.6,CHA,5835,42.6,28,6,1.0
2017-18,2736,Kemba Walker,202689,1610612766,14.706,624.5,CHA,5578,45.7,27,5,1.0
2016-17,2739,Kemba Walker,202689,1610612766,15.234,650.2,CHA,5423,47.2,26,4,1.0
2015-16,2885,Kemba Walker,202689,1610612766,15.334,656.0,CHA,5725,44.8,25,3,1.02
2014-15,2119,Kemba Walker,202689,1610612766,16.017,484.3,CHA,4059,44.7,24,2,1.08
2013-14,2614,Kemba Walker,202689,1610612766,15.962,585.8,CHA,4999,44.0,23,1,1.0
2022-23,144,Kemba Walker,202689,1610612742,15.328,23.5,DAL,287,32.1,32,10,1.0
2021-22,1999,Kelly Oubre Jr.,1626162,1610612766,14.127,82.9,CHA,4153,8.5,26,6,2.74
2020-21,1687,Kelly Oubre Jr.,1626162,1610612744,13.555,75.7,GSW,3601,9.3,25,5,2.96
2019-20,1933,Kelly Oubre Jr.,1626162,1610612756,14.299,93.8,PHX,4052,9.7,24,4,3.35
