PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Steven Adams,C,26,OKC,63,1680,,,,,100%,4.5,5.3,33,27,62,20,87,5,336,17,32
Bam Adebayo,PF,22,MIA,72,2417,,,,57%,44%,4.9,6.1,94,53,99,32,174,7,928,42,60
LaMarcus Aldridge,C,34,SAS,53,1754,,,,6%,94%,-3.8,-5.3,13,20,70,29,83,1,309,23,20
Kyle Alexander,C,23,MIA,2,13,,,,90%,10%,-12.9,-15.9,1,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,SG,21,NOP,47,591,3%,49%,45%,3%,,-4.2,-3.4,38,8,33,3,19,15,210,3,20
Grayson Allen,SG,24,MEM,38,718,3%,74%,23%,,,-5.7,-6.3,19,8,34,1,19,10,127,4,9
Jarrett Allen,C,21,BRK,70,1852,,,,,100%,0.9,3.2,20,17,94,26,113,7,268,31,44
Kadeem Allen,PG,27,NYK,10,117,100%,,,,,-10.5,-4.3,2,2,2,1,2,1,51,1,2
Al-Farouq Aminu,PF,29,ORL,18,380,,,54%,46%,,-5.4,-5.0,7,3,13,4,14,3,46,1,4
Justin Anderson,SG,26,BRK,10,107,4%,48%,43%,5%,,0.8,1.5,2,1,9,0,3,3,19,2,2
Kyle Anderson,SF,26,MEM,67,1330,,,67%,31%,1%,-3.0,-3.7,35,17,59,6,40,12,369,7,17
Ryan Anderson,C,31,HOU,2,14,,,,,100%,21.9,19.0,1,0,1,0,0,0,6,0,0
Giannis Antetokounmpo,PF,25,MIL,63,1917,,,,77%,23%,15.8,12.7,66,58,50,65,306,10,902,94,69
Kostas Antetokounmpo,PF,22,LAL,5,20,,,,28%,72%,18.3,12.6,0,1,1,0,1,0,5,0,0
Thanasis Antetokounmpo,SF,27,MIL,20,129,,22%,65%,13%,,-3.1,-13.6,5,2,6,4,8,1,38,2,3
Carmelo Anthony,PF,35,POR,58,1902,,,15%,83%,2%,0.4,2.9,35,17,66,30,80,7,212,16,46
OG Anunoby,SF,22,TOR,69,2066,,3%,76%,21%,,6.8,0.3,29,20,75,13,42,15,276,12,60
Ryan Arcidiacono,PG,25,CHI,58,930,100%,,,,,-4.2,-1.3,24,8,45,1,9,32,237,0,10
Trevor Ariza,SF,34,TOT,53,1493,,2%,88%,10%,,-0.2,1.7,28,10,33,5,36,15,223,8,11
Trevor Ariza,SF,34,SAC,32,791,,1%,89%,10%,,-2.1,0.0,16,3,19,3,12,8,122,2,4
Trevor Ariza,SF,34,POR,21,702,,4%,88%,9%,,1.9,3.6,12,7,14,2,24,7,101,6,7
D.J. Augustin,PG,32,ORL,57,1420,100%,,,,,2.1,5.2,51,20,22,10,64,12,640,11,31
,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,C,21,PHO,38,1236,,,,1%,99%,3.4,4.5,21,21,72,15,44,2,165,15,37
Dwayne Bacon,SG,24,CHO,39,687,3%,43%,55%,,,-7.8,-0.9,12,11,21,6,29,4,137,9,20
Marvin Bagley III,C,20,SAC,13,334,,,,5%,95%,-14.0,-13.2,3,6,21,2,18,4,24,7,16
Lonzo Ball,PG,22,NOP,63,2025,86%,15%,,,,-1.0,0.8,129,29,67,13,26,7,1045,4,34
Mo Bamba,C,21,ORL,62,878,,,,,100%,1.6,3.5,9,9,77,14,21,2,108,4,25
J.J. Barea,PG,35,DAL,29,450,100%,,,,,0.7,-4.8,28,7,8,2,11,17,264,2,7
Harrison Barnes,PF,27,SAC,72,2482,,,43%,54%,3%,-2.5,-1.4,36,26,46,15,122,20,407,22,40
RJ Barrett,SG,19,NYK,56,1704,,72%,27%,1%,,-9.2,-6.1,65,34,58,15,121,11,322,26,60
Will Barton,SF,29,DEN,58,1916,,28%,71%,1%,,6.0,8.2,45,19,58,12,57,8,485,16,45
Keita Bates-Diop,PF-SF,24,TOT,44,744,,3%,15%,80%,2%,-11.2,-9.1,7,5,28,2,39,0,77,9,19
Keita Bates-Diop,PF,24,MIN,37,646,,,10%,88%,2%,-11.8,-9.0,4,5,22,2,33,0,77,7,15
Keita Bates-Diop,SF,24,DEN,7,98,,24%,46%,30%,,-7.3,-9.8,3,0,6,0,6,0,0,2,4
Nicolas Batum,SF,31,CHO,22,505,,,67%,32%,,-2.9,5.1,11,3,13,0,4,13,158,1,4
Aron Baynes,C,33,PHO,42,934,,,,12%,88%,-1.4,-2.5,12,8,71,20,27,21,163,8,16
Kent Bazemore,SF,30,TOT,68,1688,1%,12%,79%,8%,,1.3,3.5,55,20,94,11,60,34,213,14,37
Kent Bazemore,SF,30,POR,43,1111,1%,19%,79%,2%,,1.0,2.8,42,11,53,4,31,21,138,6,18
Kent Bazemore,SF,30,SAC,25,577,,,78%,22%,,1.7,4.7,13,9,41,7,29,13,75,8,19
Darius Bazley,PF,19,OKC,61,1130,,,2%,93%,5%,-2.8,-6.6,21,8,32,8,30,7,104,3,28
Bradley Beal,SG,26,WAS,57,2053,3%,81%,16%,,,-4.7,-0.3,95,59,52,27,196,20,815,40,52
Malik Beasley,SG,23,TOT,55,1209,13%,86%,1%,,,-1.8,-1.6,23,18,32,8,26,7,187,5,29
Malik Beasley,SG,23,DEN,41,746,19%,80%,1%,,,2.4,0.2,11,12,18,6,14,5,117,2,18
Malik Beasley,SG,23,MIN,14,463,2%,96%,2%,,,-8.4,-4.5,12,6,14,2,12,2,70,3,11
Marco Belinelli,SG,33,SAS,57,883,1%,24%,67%,9%,,1.1,3.1,7,6,27,1,20,6,160,4,9
Jordan Bell,C,25,TOT,29,256,,,,70%,30%,-2.7,1.7,10,7,13,1,8,3,40,1,4
Jordan Bell,C,25,MIN,27,235,,,,70%,30%,-2.5,2.3,8,7,11,1,7,3,36,1,4
