"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-03-13","ATL","OKC","17:14",35,13,2,4,0.5,2,4,0.5,0.5,3,4,0,6,0,1,1,1,0.5,0.52773125,0.625,0.65,0,0,0,0,0,25.58139534883721
"2018-03-15","ATL","CHA","26:21",56,14,2,3,0.6666666666666666,3,5,0.6,0.6,1,2,2,9,0,0.5,0.5,1,0.625,0.57048125,0.8125,0.7777777777777778,0,0,0,0,0,14.516129032258064
"2018-03-17","ATL","MIL","20:54",46,7,1,4,0.25,1,4,0.25,0.25,2,2,0,3,0,1,1,1,0.5,0.4657,0.3125,0.3888888888888889,0,0,0,0,0,19.607843137254903
"2018-03-20","ATL","UTA","31:35",68,5,2,4,0.5,0,2,0,0,1,4,0,0,0,1,1,0,0.3333333333333333,0.52249,0.3333333333333333,0.35714285714285715,0,0,0,0,0,8.641975308641975
"2018-03-22","ATL","SAC","22:29",45,13,4,7,0.5714285714285714,0,1,0,0,5,2,6,0,0,0.25,0.3333333333333333,0,0.125,0.4361,0.5,0.65,2,0,0,0,0,24
"2018-03-23","ATL","GSW","30:54",62,10,2,4,0.5,2,6,0.3333333333333333,0.3333333333333333,0,4,0,6,0,1,1,1,0.6,0.509645,0.5,0.5,0,0,0,0,0,16.176470588235293
"2018-03-25","ATL","HOU","25:10",51,4,2,4,0.5,0,5,0,0,0,2,2,0,0,0.5,0.5,0,0.5555555555555556,0.5132722222222221,0.2222222222222222,0.2222222222222222,0,1,0.25,0,0,18.867924528301884
"2018-03-28","ATL","MIN","30:22",65,8,3,4,0.75,0,2,0,0,2,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,0.486275,0.5,0.5714285714285714,0,0,0,0,0,10.44776119402985
"2018-03-30","ATL","PHI","32:15",73,20,6,11,0.5454545454545454,2,6,0.3333333333333333,0.3333333333333333,2,10,2,6,0,0.8333333333333334,0.8333333333333334,1,0.35294117647058826,0.4651470588235294,0.5294117647058824,0.5555555555555556,0,0,0,0,0,21.686746987951807
"2018-04-01","ATL","ORL","23:03",45,4,2,5,0.4,0,2,0,0,0,4,0,0,0,1,1,0,0.2857142857142857,0.4691642857142857,0.2857142857142857,0.2857142857142857,0,2,0.4,0,0,18.367346938775512
"2018-04-03","ATL","MIA","37:20",75,16,5,13,0.38461538461538464,1,6,0.16666666666666666,0.16666666666666666,3,4,6,3,0,0.4,0.5,1,0.3157894736842105,0.4535694444444444,0.34210526315789475,0.4,2,3,0.23076923076923078,0,0,23.25581395348837
"2018-04-04","ATL","MIA","22:53",45,15,6,10,0.6,1,3,0.3333333333333333,0.3333333333333333,0,6,6,3,0,0.5,0.6,1,0.23076923076923078,0.5044615384615384,0.5769230769230769,0.5769230769230769,2,2,0.2,0,0,29.09090909090909
"2018-04-06","ATL","WAS","25:53",55,11,3,4,0.75,1,5,0.2,0.2,2,4,2,3,0,0.6666666666666666,0.6666666666666666,1,0.5555555555555556,0.4869388888888889,0.5,0.55,0,0,0,0,0,21.666666666666668
"2018-04-08","ATL","BOS","29:02",55,14,4,8,0.5,2,5,0.4,0.4,0,6,2,6,0,0.75,0.75,1,0.38461538461538464,0.5067884615384616,0.5384615384615384,0.5384615384615384,0,3,0.375,0,0,20.967741935483872
"2018-04-10","ATL","PHI","28:59",65,7,3,7,0.42857142857142855,0,4,0,0,1,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0.36363636363636365,0.5201181818181818,0.2727272727272727,0.2916666666666667,0,1,0.14285714285714285,1,0.25,16
"2018-10-22","GSW","PHX","02:10",4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.42445,0,0,0,0,0,0,0,40
"2018-11-05","GSW","MEM","04:02",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3744,0,0,0,0,0,0,0,25
"2018-11-08","GSW","MIL","12:00",25,8,1,2,0.5,1,1,1,1,3,2,0,3,0,1,1,1,0.3333333333333333,0.4535666666666667,0.8333333333333334,0.8,0,1,0.5,0,0,18.51851851851852
"2018-11-10","GSW","BKN","05:56",13,3,0,1,0,1,1,1,1,0,0,0,0,3,0,0,0,0.5,0.428575,0.75,0.75,0,0,0,0,0,15.384615384615383
"2018-11-17","GSW","DAL","18:41",38,13,1,3,0.3333333333333333,3,5,0.6,0.6,2,2,0,6,3,1,1,0.6666666666666666,0.625,0.5218125,0.6875,0.7222222222222222,0,1,0.3333333333333333,0,0,21.951219512195124
"2018-11-18","GSW","SAS","18:15",37,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.4918,0,0,0,0,0,0,0,5.128205128205128
"2018-11-21","GSW","OKC","26:32",57,13,3,6,0.5,2,5,0.4,0.4,1,6,0,6,0,1,1,1,0.45454545454545453,0.5286727272727273,0.5454545454545454,0.5416666666666666,0,1,0.16666666666666666,0,0,20.3125
"2018-11-23","GSW","POR","22:14",43,8,1,2,0.5,2,4,0.5,0.5,0,2,0,6,0,1,1,1,0.6666666666666666,0.4930833333333333,0.6666666666666666,0.6666666666666666,0,0,0,0,0,14
"2018-11-24","GSW","SAC","16:27",36,5,0,0,0,1,3,0.3333333333333333,0.3333333333333333,2,0,0,3,0,0,0,1,1,0.5751499999999999,0.5,0.625,0,0,0,0,0,12.195121951219512
"2018-11-26","GSW","ORL","14:07",26,7,2,2,1,1,4,0.25,0.25,0,4,0,3,0,1,1,1,0.6666666666666666,0.52035,0.5833333333333334,0.5833333333333334,0,0,0,0,0,20.588235294117645
"2018-11-29","GSW","TOR","18:07",37,7,2,4,0.5,1,3,0.3333333333333333,0.3333333333333333,0,4,0,3,0,1,1,1,0.42857142857142855,0.516,0.5,0.5,0,1,0.25,0,0,17.391304347826086
"2018-12-01","GSW","DET","06:27",13,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.3765,1,1,0,0,0,0,0,6.666666666666667
"2018-12-03","GSW","ATL","12:11",27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6063,0,0,0,0,0,0,0,6.8965517241379315
"2018-12-12","GSW","TOR","05:21",11,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.333333333333334
"2018-12-14","GSW","SAC","08:42",22,5,1,1,1,1,1,1,1,0,0,2,3,0,0,0,1,0.5,0.648925,1.25,1.25,0,0,0,0,0,12.5
