"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Draymond Green","GSW",23,879,1777,355,81,172,0.47093023255813954,38,104,0.36538461538461536,0.37254901960784315,79,74,88,111,3,0.4567901234567901,0.5138888888888888,0.9736842105263158,0.37681159420289856,0.5460527372262773,0.5,0.5461538461538461,18,18,0.10465116279069768,1,0.009615384615384616,18.98101898101898
"Klay Thompson","GSW",24,849,1722,582,103,222,0.46396396396396394,98,231,0.42424242424242425,0.42424242424242425,82,128,78,264,30,0.6213592233009708,0.6213592233009708,0.8979591836734694,0.5099337748344371,0.5049843267108168,0.5518763796909493,0.5858585858585859,0,23,0.1036036036036036,2,0.008658008658008658,27.90937178166838
"LeBron James","CLE",21,822,1541,552,187,323,0.5789473684210527,32,94,0.3404255319148936,0.3404255319148936,82,154,220,45,51,0.4117647058823529,0.4375,0.46875,0.22541966426858512,0.5543089928057554,0.5635491606714629,0.5872340425531914,22,17,0.05263157894736842,0,0,30.66966797974114
"Kyrie Irving","CLE",21,774,1470,530,150,307,0.48859934853420195,51,116,0.4396551724137931,0.43859649122807015,77,74,226,84,69,0.24666666666666667,0.25,0.5490196078431373,0.27423167848699764,0.49071033254156765,0.5354609929078015,0.5712719298245614,4,22,0.07166123778501629,0,0,29.734513274336283
"Andre Iguodala","GSW",24,768,1546,213,53,99,0.5353535353535354,25,65,0.38461538461538464,0.390625,32,54,52,69,6,0.5094339622641509,0.574468085106383,0.92,0.39634146341463417,0.5563634969325154,0.551829268292683,0.5605263157894737,12,7,0.0707070707070707,0,0,12.074829931972788
"Kyle Lowry","TOR",20,766,1422,382,89,192,0.4635416666666667,42,138,0.30434782608695654,0.30656934306569344,78,36,142,54,72,0.20224719101123595,0.20454545454545456,0.42857142857142855,0.41818181818181815,0.47445564024390247,0.46060606060606063,0.508,2,18,0.09375,2,0.014492753623188406,26.642335766423354
"DeMar DeRozan","TOR",20,746,1411,418,153,372,0.4112903225806452,4,26,0.15384615384615385,0.15384615384615385,100,84,222,12,0,0.27450980392156865,0.27631578947368424,1,0.06532663316582915,0.4225030150753769,0.39949748743718594,0.4579646017699115,2,29,0.07795698924731183,0,0,30.45343137254902
"Harrison Barnes","GSW",24,743,1477,216,56,137,0.40875912408759124,26,76,0.34210526315789475,0.34210526315789475,26,60,52,75,3,0.5357142857142857,0.5660377358490566,0.9615384615384616,0.3568075117370892,0.5087953051643193,0.4460093896713615,0.47368421052631576,6,12,0.08759124087591241,0,0,14.765906362545017
"JR Smith","CLE",21,730,1379,242,17,37,0.4594594594594595,65,151,0.4304635761589404,0.436241610738255,13,16,18,186,9,0.47058823529411764,0.47058823529411764,0.9538461538461539,0.8031914893617021,0.5225516216216216,0.6090425531914894,0.6111111111111112,0,4,0.10810810810810811,4,0.026490066225165563,13.03805364940736
"Kevin Durant","OKC",18,726,1440,511,144,297,0.48484848484848486,31,110,0.2818181818181818,0.28440366972477066,130,140,148,69,24,0.4861111111111111,0.49295774647887325,0.7419354838709677,0.2702702702702703,0.4875689655172414,0.4680589680589681,0.5375536480686696,4,10,0.03367003367003367,2,0.01818181818181818,31.70149253731343
