SEASON,PLAYER_ID,AGE,EXP
2022-23,1630639.0,22.0,0.0
2022-23,1630639.0,22.0,0.0
2021-22,1628981.0,23.0,2.0
2021-22,1628981.0,23.0,2.0
2020-21,1628981.0,22.0,1.0
2019-20,1628981.0,21.0,0.0
2022-23,1628981.0,24.0,3.0
2022-23,1628981.0,24.0,3.0
2022-23,1631121.0,20.0,0.0
2021-22,1628966.0,26.0,3.0
2020-21,1628966.0,25.0,2.0
2019-20,1628966.0,24.0,1.0
2019-20,1628966.0,24.0,1.0
2018-19,1628966.0,23.0,0.0
2022-23,1628966.0,27.0,4.0
2022-23,1631099.0,22.0,0.0
2020-21,202695.0,29.0,9.0
2019-20,202695.0,28.0,8.0
2018-19,202695.0,27.0,7.0
2017-18,202695.0,26.0,6.0
2016-17,202695.0,25.0,5.0
2015-16,202695.0,24.0,4.0
2014-15,202695.0,23.0,3.0
2013-14,202695.0,22.0,2.0
2022-23,202695.0,31.0,10.0
2021-22,1626157.0,26.0,6.0
2020-21,1626157.0,25.0,5.0
2019-20,1626157.0,24.0,4.0
2018-19,1626157.0,23.0,3.0
2017-18,1626157.0,22.0,2.0
2016-17,1626157.0,21.0,1.0
2015-16,1626157.0,20.0,0.0
2022-23,1626157.0,27.0,7.0
2021-22,1630539.0,21.0,0.0
2022-23,1630539.0,22.0,1.0
2022-23,1631205.0,23.0,0.0
2021-22,203994.0,27.0,7.0
2020-21,203994.0,26.0,6.0
2019-20,203994.0,25.0,5.0
2018-19,203994.0,24.0,4.0
2017-18,203994.0,23.0,3.0
2016-17,203994.0,22.0,2.0
2016-17,203994.0,22.0,2.0
2015-16,203994.0,21.0,1.0
2014-15,203994.0,20.0,0.0
2022-23,203994.0,28.0,8.0
2021-22,1626159.0,26.0,6.0
2021-22,1626159.0,26.0,6.0
2020-21,1626159.0,25.0,5.0
2019-20,1626159.0,24.0,4.0
2018-19,1626159.0,23.0,3.0
2017-18,1626159.0,22.0,2.0
2016-17,1626159.0,21.0,1.0
2015-16,1626159.0,20.0,0.0
2022-23,1626159.0,27.0,7.0
2021-22,1627741.0,29.0,5.0
2021-22,1627741.0,29.0,5.0
2020-21,1627741.0,28.0,4.0
2019-20,1627741.0,27.0,3.0
2018-19,1627741.0,26.0,2.0
2017-18,1627741.0,25.0,1.0
2016-17,1627741.0,24.0,0.0
2016-17,1627741.0,24.0,0.0
2022-23,1627741.0,30.0,6.0
2021-22,203200.0,33.0,8.0
2021-22,203200.0,33.0,8.0
2020-21,203200.0,32.0,7.0
2019-20,203200.0,31.0,6.0
2018-19,203200.0,30.0,5.0
2018-19,203200.0,30.0,5.0
2017-18,203200.0,29.0,4.0
2016-17,203200.0,28.0,3.0
2015-16,203200.0,27.0,2.0
2015-16,203200.0,27.0,2.0
2014-15,203200.0,26.0,1.0
2022-23,203200.0,34.0,9.0
2022-23,203200.0,34.0,9.0
2021-22,1630551.0,20.0,0.0
2022-23,1630551.0,21.0,1.0
2022-23,1630551.0,21.0,1.0
2021-22,203944.0,27.0,7.0
2020-21,203944.0,26.0,6.0
2019-20,203944.0,25.0,5.0
2018-19,203944.0,24.0,4.0
2017-18,203944.0,23.0,3.0
2016-17,203944.0,22.0,2.0
2015-16,203944.0,21.0,1.0
2014-15,203944.0,20.0,0.0
2022-23,203944.0,28.0,8.0
2022-23,1630577.0,21.0,0.0
2022-23,1630577.0,21.0,0.0
2021-22,1629640.0,22.0,2.0
2020-21,1629640.0,21.0,1.0
2019-20,1629640.0,20.0,0.0
2022-23,1629640.0,23.0,3.0
2021-22,203468.0,30.0,8.0
2021-22,203468.0,30.0,8.0
2020-21,203468.0,29.0,7.0
2019-20,203468.0,28.0,6.0
2018-19,203468.0,27.0,5.0
2017-18,203468.0,26.0,4.0
2016-17,203468.0,25.0,3.0
2015-16,203468.0,24.0,2.0
2014-15,203468.0,23.0,1.0
2013-14,203468.0,22.0,0.0
2022-23,203468.0,31.0,9.0
2021-22,203482.0,31.0,8.0
2020-21,203482.0,30.0,7.0
2020-21,203482.0,30.0,7.0
2019-20,203482.0,29.0,6.0
2018-19,203482.0,28.0,5.0
2017-18,203482.0,27.0,4.0
2016-17,203482.0,26.0,3.0
2015-16,203482.0,25.0,2.0
2014-15,203482.0,24.0,1.0
2013-14,203482.0,23.0,0.0
2022-23,203482.0,32.0,9.0
2021-22,201567.0,33.0,13.0
2020-21,201567.0,32.0,12.0
2019-20,201567.0,31.0,11.0
2018-19,201567.0,30.0,10.0
2017-18,201567.0,29.0,9.0
2016-17,201567.0,28.0,8.0
2015-16,201567.0,27.0,7.0
2014-15,201567.0,26.0,6.0
2013-14,201567.0,25.0,5.0
2022-23,201567.0,34.0,14.0
2022-23,201567.0,34.0,14.0
2021-22,1628995.0,22.0,3.0
2021-22,1628995.0,22.0,3.0
2020-21,1628995.0,21.0,2.0
2019-20,1628995.0,20.0,1.0
2018-19,1628995.0,19.0,0.0
2022-23,1628995.0,23.0,4.0
2022-23,1628995.0,23.0,4.0
2021-22,1628989.0,23.0,3.0
2020-21,1628989.0,22.0,2.0
2019-20,1628989.0,21.0,1.0
2018-19,1628989.0,20.0,0.0
2022-23,1628989.0,24.0,4.0
2021-22,201142.0,33.0,13.0
2020-21,201142.0,32.0,12.0
2018-19,201142.0,30.0,11.0
2017-18,201142.0,29.0,10.0
2016-17,201142.0,28.0,9.0
2015-16,201142.0,27.0,8.0
2014-15,201142.0,26.0,7.0
2013-14,201142.0,25.0,6.0
2022-23,201142.0,34.0,14.0
2022-23,201142.0,34.0,14.0
2021-22,1630556.0,21.0,0.0
2022-23,1630556.0,22.0,1.0
2022-23,1630556.0,22.0,1.0
2021-22,1630553.0,20.0,0.0
2021-22,1630553.0,20.0,0.0
2022-23,1630553.0,21.0,1.0
2022-23,1631165.0,23.0,0.0
2021-22,1630231.0,21.0,1.0
2020-21,1630231.0,20.0,0.0
2022-23,1630231.0,22.0,2.0
2021-22,201572.0,34.0,13.0
2020-21,201572.0,33.0,12.0
2019-20,201572.0,32.0,11.0
2018-19,201572.0,31.0,10.0
2017-18,201572.0,30.0,9.0
2016-17,201572.0,29.0,8.0
2015-16,201572.0,28.0,7.0
2014-15,201572.0,27.0,6.0
2013-14,201572.0,26.0,5.0
2022-23,201572.0,35.0,14.0
2021-22,203484.0,29.0,8.0
2020-21,203484.0,28.0,7.0
2019-20,203484.0,27.0,6.0
2018-19,203484.0,26.0,5.0
2017-18,203484.0,25.0,4.0
2016-17,203484.0,24.0,3.0
2015-16,203484.0,23.0,2.0
2014-15,203484.0,22.0,1.0
2013-14,203484.0,21.0,0.0
2022-23,203484.0,30.0,9.0
2021-22,1629026.0,27.0,3.0
2020-21,1629026.0,26.0,2.0
2019-20,1629026.0,25.0,1.0
2018-19,1629026.0,24.0,0.0
2022-23,1629026.0,28.0,4.0
2021-22,1628971.0,25.0,3.0
2020-21,1628971.0,24.0,2.0
2019-20,1628971.0,23.0,1.0
2018-19,1628971.0,22.0,0.0
2022-23,1628971.0,26.0,4.0
2022-23,1631254.0,20.0,0.0
2020-21,1629134.0,25.0,1.0
2019-20,1629134.0,24.0,0.0
2022-23,1629134.0,27.0,2.0
2022-23,1629134.0,27.0,2.0
2022-23,1631112.0,20.0,0.0
2021-22,202689.0,31.0,9.0
2020-21,202689.0,30.0,8.0
2019-20,202689.0,29.0,7.0
2018-19,202689.0,28.0,6.0
2017-18,202689.0,27.0,5.0
2016-17,202689.0,26.0,4.0
2015-16,202689.0,25.0,3.0
2014-15,202689.0,24.0,2.0
2013-14,202689.0,23.0,1.0
2022-23,202689.0,32.0,10.0
2021-22,1626162.0,26.0,6.0
2020-21,1626162.0,25.0,5.0
2019-20,1626162.0,24.0,4.0
2018-19,1626162.0,23.0,3.0
2018-19,1626162.0,23.0,3.0
2017-18,1626162.0,22.0,2.0
2016-17,1626162.0,21.0,1.0
