SEASON,PLAYER_ID,TEAM,START_DATE,END_DATE
2013-14,1889,DEN,2013-10-30,2013-12-30
2013-14,1889,WAS,2014-02-22,2014-04-16
2013-14,2406,MIL,2013-10-30,2014-02-20
2013-14,2406,OKC,2014-03-04,2014-04-16
2013-14,2422,SAC,2013-10-30,2013-12-07
2013-14,2422,TOR,2013-12-13,2014-04-14
2013-14,2501,BKN,2013-10-30,2014-02-07
2013-14,2501,SAC,2014-02-23,2014-04-12
2013-14,2557,MIL,2013-11-15,2014-02-05
2013-14,2557,CHA,2014-02-28,2014-04-16
2013-14,2581,LAL,2013-10-29,2014-02-13
2013-14,2581,GSW,2014-02-20,2014-04-16
2013-14,2736,CHI,2013-10-29,2014-01-04
2013-14,2736,CLE,2014-01-10,2014-04-09
2013-14,2757,NYK,2013-10-30,2014-01-24
2013-14,2757,MEM,2014-03-05,2014-04-13
2013-14,101115,CLE,2013-10-30,2013-12-26
2013-14,101115,IND,2014-03-11,2014-03-15
2013-14,101122,IND,2013-12-20,2014-02-19
2013-14,101122,LAC,2014-03-04,2014-03-27
2013-14,101236,SAC,2013-10-30,2013-12-07
2013-14,101236,TOR,2013-12-20,2014-04-16
2013-14,200752,TOR,2013-10-30,2013-12-06
2013-14,200752,SAC,2013-12-13,2014-04-16
2013-14,200758,HOU,2013-11-01,2014-01-29
2013-14,200758,CHI,2014-04-14,2014-04-14
2013-14,200769,SAS,2014-02-01,2014-02-21
2013-14,200769,NYK,2014-02-27,2014-04-16
2013-14,200811,NOP,2013-11-12,2013-12-27
2013-14,200811,CHI,2014-04-14,2014-04-14
2013-14,201150,PHI,2013-10-30,2014-02-18
2013-14,201150,CLE,2014-02-21,2014-04-16
2013-14,201166,HOU,2013-10-30,2014-02-19
2013-14,201166,DEN,2014-02-21,2014-04-16
2013-14,201175,ORL,2013-11-23,2014-02-19
2013-14,201175,LAC,2014-02-26,2014-04-16
2013-14,201189,TOR,2013-11-02,2013-11-13
2013-14,201189,SAC,2013-12-13,2014-04-16
2013-14,201196,CHA,2013-10-30,2014-02-19
2013-14,201196,MIL,2014-02-22,2014-04-16
2013-14,201202,MIA,2013-11-01,2014-01-07
2013-14,201202,BOS,2014-01-21,2014-04-16
2013-14,201571,TOR,2013-10-30,2013-11-26
2013-14,201571,CHI,2013-12-13,2014-04-16
2013-14,201573,MEM,2013-10-30,2014-01-05
2013-14,201573,BOS,2014-01-07,2014-04-11
2013-14,201584,BOS,2013-10-30,2014-01-03
2013-14,201584,MEM,2014-01-07,2014-04-16
2013-14,201601,SAC,2013-11-02,2013-11-24
2013-14,201601,MIN,2013-11-30,2014-04-16
2013-14,201785,SAS,2014-01-24,2014-01-29
2013-14,201785,MIN,2014-04-08,2014-04-09
2013-14,201858,ATL,2013-10-30,2014-04-16
2013-14,201858,CHI,2014-01-11,2014-01-27
2013-14,201947,CLE,2013-10-30,2014-02-18
2013-14,201947,NYK,2014-02-27,2014-03-15
2013-14,201948,TOR,2013-11-01,2014-02-12
2013-14,201948,SAS,2014-02-26,2014-04-16
2013-14,201957,LAC,2013-10-31,2014-02-01
2013-14,201957,PHI,2014-02-24,2014-04-12
2013-14,201962,GSW,2013-10-30,2014-01-10
2013-14,201962,MIA,2014-01-29,2014-04-16
2013-14,201977,SAC,2013-10-30,2014-02-12
2013-14,201977,BKN,2014-02-26,2014-04-16
2013-14,201986,SAS,2013-11-10,2014-02-19
2013-14,201986,TOR,2014-02-23,2014-04-16
2013-14,202323,PHI,2013-10-30,2014-02-18
2013-14,202323,IND,2014-02-25,2014-04-16
2013-14,202335,SAC,2013-10-30,2013-12-07
2013-14,202335,TOR,2013-12-13,2014-04-16
2013-14,202348,BOS,2013-10-30,2014-01-13
2013-14,202348,GSW,2014-01-17,2014-04-16
2013-14,202349,SAC,2013-10-30,2013-12-07
2013-14,202349,TOR,2013-12-13,2014-04-16
2013-14,202363,CHI,2014-02-21,2014-02-21
2013-14,202363,PHI,2014-03-01,2014-04-16
2013-14,202390,MIL,2013-10-30,2014-02-18
2013-14,202390,CHA,2014-02-28,2014-04-16
2013-14,202399,CHA,2013-10-30,2014-02-19
2013-14,202399,MIL,2014-02-22,2014-04-16
2013-14,202620,NOP,2013-10-30,2013-11-08
2013-14,202620,CLE,2014-02-28,2014-03-04
2013-14,202682,MIN,2013-11-01,2013-11-23
2013-14,202682,SAC,2013-11-29,2014-04-16
2013-14,202686,WAS,2013-11-12,2014-02-19
2013-14,202686,DEN,2014-02-21,2014-04-16
2013-14,202690,SAC,2013-11-02,2014-02-19
2013-14,202690,CHI,2014-03-02,2014-04-14
2013-14,202705,BOS,2013-11-03,2014-01-13
2013-14,202705,GSW,2014-01-17,2014-02-10
2013-14,202705,LAL,2014-02-21,2014-04-16
2013-14,202706,DEN,2013-11-05,2014-02-18
2013-14,202706,HOU,2014-02-25,2014-04-16
2013-14,202721,PHI,2013-10-30,2013-11-18
2013-14,202721,LAC,2014-01-06,2014-01-25
2013-14,202721,MEM,2014-02-05,2014-02-12
2013-14,202730,PHI,2013-10-30,2014-02-18
2013-14,202730,IND,2014-02-25,2014-04-16
2013-14,202952,SAS,2014-01-19,2014-01-19
2013-14,202952,UTA,2014-01-31,2014-04-16
2013-14,203099,ATL,2013-11-07,2014-01-31
2013-14,203099,SAC,2014-03-31,2014-04-16
2013-14,203104,CHI,2013-11-06,2013-12-25
2013-14,203104,BKN,2014-01-31,2014-04-16
2013-14,203112,TOR,2013-11-09,2013-12-06
2013-14,203112,SAC,2013-12-15,2014-04-16
2013-14,203120,CHA,2014-03-08,2014-03-08
2013-14,203120,MIA,2014-03-28,2014-04-16
2013-14,203145,GSW,2013-10-30,2014-02-10
2013-14,203145,LAL,2014-02-21,2014-04-06
2013-14,203156,CLE,2013-11-02,2014-02-19
2013-14,203156,PHI,2014-02-24,2014-04-16
2013-14,203263,ATL,2014-01-16,2014-01-31
2013-14,203263,PHI,2014-03-17,2014-04-05
2013-14,203473,GSW,2013-11-18,2013-12-03
2013-14,203473,PHI,2014-01-15,2014-02-01
2013-14,203473,ORL,2014-03-01,2014-04-16
2013-14,203480,CHA,2013-11-29,2013-11-29
2013-14,203480,NOP,2014-04-11,2014-04-14
2013-14,203519,ORL,2014-03-01,2014-03-08
2013-14,203519,PHI,2014-04-11,2014-04-16
2013-14,203552,MEM,2014-01-05,2014-01-05
2013-14,203552,CLE,2014-03-22,2014-03-22
2014-15,708,BKN,2014-10-29,2015-02-10
2014-15,708,MIN,2015-02-25,2015-03-07
2014-15,1889,WAS,2014-10-29,2015-02-11
2014-15,1889,SAC,2015-02-20,2015-04-15
2014-15,2405,NYK,2014-10-29,2015-02-11
2014-15,2405,DAL,2015-02-22,2015-04-15
2014-15,2419,MEM,2014-10-31,2015-01-09
2014-15,2419,BOS,2015-01-19,2015-02-11
2014-15,2419,DET,2015-02-24,2015-04-10
2014-15,2570,OKC,2014-10-29,2015-02-11
2014-15,2570,CLE,2015-02-24,2015-04-15
2014-15,2590,MIN,2014-10-29,2015-02-09
2014-15,2590,CHA,2015-02-21,2015-04-10
2014-15,2746,DET,2014-10-29,2014-12-21
2014-15,2746,HOU,2014-12-26,2015-04-15
2014-15,2747,NYK,2014-10-29,2015-01-04
2014-15,2747,CLE,2015-01-07,2015-04-15
2014-15,2749,DAL,2014-10-28,2014-12-17
2014-15,2749,BOS,2014-12-21,2015-01-02
2014-15,2749,DEN,2015-01-16,2015-04-04
2014-15,101126,DEN,2014-10-29,2015-01-09
2014-15,101126,LAC,2015-03-08,2015-03-22
2014-15,101183,PHX,2014-10-29,2015-01-04
2014-15,101183,BOS,2015-02-20,2015-03-20
2014-15,200761,MIA,2014-10-29,2015-02-01
2014-15,200761,DET,2015-02-27,2015-04-15
2014-15,200765,BOS,2014-10-29,2014-12-17
2014-15,200765,DAL,2014-12-20,2015-04-15
2014-15,200779,UTA,2014-10-30,2015-02-11
2014-15,200779,OKC,2015-02-22,2015-04-10
2014-15,200811,CLE,2014-11-15,2015-01-04
2014-15,200811,NYK,2015-01-15,2015-04-15
2014-15,201145,BOS,2014-10-29,2015-01-07
2014-15,201145,MEM,2015-01-14,2015-04-15
2014-15,201147,MIN,2014-10-29,2014-12-16
2014-15,201147,HOU,2014-12-22,2015-04-15
2014-15,201148,DAL,2014-10-28,2014-12-17
2014-15,201148,BOS,2014-12-21,2015-01-05
2014-15,201148,PHX,2015-01-11,2015-04-10
2014-15,201152,MIN,2014-10-29,2015-02-11
2014-15,201152,BKN,2015-02-20,2015-04-15
2014-15,201167,DEN,2014-10-29,2015-02-10
2014-15,201167,POR,2015-02-22,2015-04-09
2014-15,201196,SAC,2014-10-29,2015-02-11
2014-15,201196,WAS,2015-02-20,2015-04-15
2014-15,201229,PHX,2014-10-29,2014-12-15
2014-15,201229,DET,2014-12-30,2015-04-15
2014-15,201571,DET,2014-10-29,2015-02-11
2014-15,201571,OKC,2015-02-21,2015-04-15
2014-15,201580,DEN,2014-10-29,2015-02-10
2014-15,201580,PHI,2015-02-20,2015-03-01
2014-15,201609,PHX,2014-10-29,2015-02-10
2014-15,201609,MIA,2015-02-21,2015-04-13
2014-15,201948,SAS,2014-10-31,2015-01-14
2014-15,201948,ATL,2015-03-18,2015-04-15
2014-15,201973,DET,2014-10-29,2015-02-11
2014-15,201973,BOS,2015-02-22,2015-04-15
2014-15,201977,BOS,2014-10-29,2015-02-11
2014-15,201977,PHX,2015-02-23,2015-04-07
2014-15,202087,DEN,2014-10-29,2015-02-06
2014-15,202087,POR,2015-02-25,2015-04-15
2014-15,202343,UTA,2015-01-07,2015-01-24
2014-15,202343,NOP,2015-03-07,2015-03-22
2014-15,202347,MEM,2014-10-29,2015-01-07
2014-15,202347,NOP,2015-01-14,2015-04-15
2014-15,202389,DEN,2014-10-29,2015-01-05
2014-15,202389,CLE,2015-01-09,2015-04-15
2014-15,202390,CHA,2014-10-29,2015-02-08
2014-15,202390,MIN,2015-02-20,2015-03-22
2014-15,202397,OKC,2014-11-07,2015-02-11
2014-15,202397,PHI,2015-02-23,2015-04-13
2014-15,202498,OKC,2014-10-29,2014-12-28
2014-15,202498,NYK,2015-01-15,2015-04-15
2014-15,202683,UTA,2014-10-29,2015-02-11
2014-15,202683,OKC,2015-02-21,2015-04-15
2014-15,202688,MIL,2014-10-29,2015-02-11
2014-15,202688,PHX,2015-02-21,2015-03-29
2014-15,202697,NYK,2014-10-29,2014-12-12
2014-15,202697,CLE,2015-01-23,2015-04-15
2014-15,202704,OKC,2014-11-03,2015-02-11
2014-15,202704,DET,2015-02-22,2015-04-15
2014-15,202708,MIA,2014-10-29,2015-02-11
2014-15,202708,NOP,2015-02-21,2015-04-15
2014-15,202713,DET,2014-10-29,2015-02-11
2014-15,202713,OKC,2015-02-21,2015-04-15
2014-15,202738,PHX,2014-10-29,2015-02-10
2014-15,202738,BOS,2015-02-22,2015-04-14
2014-15,203079,CLE,2014-10-30,2015-01-04
2014-15,203079,OKC,2015-01-07,2015-04-15
2014-15,203080,POR,2014-10-29,2015-02-11
2014-15,203080,PHI,2015-02-25,2015-04-15
2014-15,203085,NOP,2014-10-28,2015-01-09
2014-15,203085,LAC,2015-01-16,2015-04-13
2014-15,203101,PHX,2014-10-29,2015-02-10
2014-15,203101,MIL,2015-02-22,2015-04-15
2014-15,203109,DAL,2014-10-28,2014-12-17
2014-15,203109,BOS,2014-12-21,2015-04-14
2014-15,203113,SAC,2015-01-17,2015-02-07
2014-15,203113,DET,2015-04-01,2015-04-15
2014-15,203115,POR,2014-10-29,2015-02-11
2014-15,203115,DEN,2015-02-22,2015-04-15
2014-15,203120,MIA,2014-11-01,2015-02-11
2014-15,203120,MIN,2015-03-09,2015-04-15
2014-15,203143,NYK,2014-10-29,2015-02-11
2014-15,203143,HOU,2015-02-21,2015-04-15
2014-15,203144,PHI,2014-10-29,2014-12-15
2014-15,203144,HOU,2014-12-22,2015-01-25
2014-15,203144,NYK,2015-02-22,2015-03-22
2014-15,203187,PHI,2014-10-29,2014-11-14
2014-15,203187,UTA,2015-02-04,2015-04-15
2014-15,203187,MIL,2015-03-07,2015-03-22
2014-15,203210,SAS,2015-01-18,2015-01-23
2014-15,203210,MEM,2015-02-06,2015-04-15
2014-15,203268,BKN,2014-11-03,2014-12-10
2014-15,203268,MIL,2015-01-29,2015-04-15
2014-15,203315,UTA,2015-01-03,2015-01-03
2014-15,203315,WAS,2015-03-12,2015-03-23
2014-15,203477,HOU,2014-10-28,2015-02-11
2014-15,203477,PHI,2015-02-22,2015-04-01
2014-15,203487,PHI,2014-11-13,2015-02-03
2014-15,203487,MIL,2015-02-25,2015-04-15
2014-15,203489,MIL,2014-10-31,2015-01-07
2014-15,203489,NOP,2015-01-16,2015-02-02
2014-15,203493,LAC,2014-11-03,2015-01-11
2014-15,203493,PHX,2015-01-25,2015-04-10
2014-15,203495,DAL,2014-12-20,2015-02-09
2014-15,203495,NYK,2015-03-22,2015-04-15
2014-15,203511,OKC,2014-11-28,2015-01-26
2014-15,203511,UTA,2015-02-27,2015-04-15
2014-15,203540,DET,2014-12-02,2015-02-11
2014-15,203540,BOS,2015-02-25,2015-04-15
2014-15,203546,UTA,2014-10-30,2015-03-25
2014-15,203546,DEN,2015-04-01,2015-04-15
2014-15,203561,PHI,2014-10-29,2014-12-06
2014-15,203561,BKN,2014-12-12,2014-12-30
2014-15,203584,HOU,2014-10-28,2014-12-18
2014-15,203584,MIN,2014-12-21,2015-02-09
2014-15,203584,CHA,2015-02-22,2015-04-15
2014-15,203893,NOP,2014-11-04,2015-01-02
2014-15,203893,MEM,2015-02-11,2015-04-13
2014-15,203898,PHX,2014-10-29,2015-01-31
2014-15,203898,MIL,2015-02-20,2015-04-15
2014-15,203909,PHI,2014-10-29,2015-02-09
2014-15,203909,HOU,2015-02-21,2015-04-15
2014-15,203922,MIN,2014-11-14,2015-02-27
2014-15,203922,PHI,2015-03-14,2015-04-15
2014-15,203939,BOS,2014-11-14,2014-12-15
2014-15,203939,DAL,2014-12-23,2015-04-15
2014-15,203940,ATL,2014-12-26,2015-01-14
2014-15,203940,MIN,2015-02-20,2015-04-15
2014-15,204025,PHI,2015-02-06,2015-02-23
2014-15,204025,POR,2015-04-03,2015-04-15
2014-15,204028,HOU,2014-10-28,2014-12-22
2014-15,204028,LAL,2015-01-07,2015-04-15
2014-15,204054,PHX,2014-11-15,2015-02-05
2014-15,204054,MIA,2015-02-23,2015-04-15
2015-16,1889,MIN,2015-11-05,2016-02-10
2015-16,1889,SAS,2016-03-02,2016-04-13
2015-16,2207,BKN,2015-10-28,2016-02-23
2015-16,2207,MIA,2016-02-28,2016-04-13
2015-16,2365,MIA,2015-11-03,2016-01-13
2015-16,2365,MEM,2016-02-19,2016-04-13
2015-16,2550,CHI,2015-10-28,2016-02-10
2015-16,2550,ATL,2016-02-26,2016-04-13
2015-16,2743,WAS,2015-10-28,2016-02-09
2015-16,2743,PHX,2016-02-19,2016-02-25
2015-16,2743,ATL,2016-03-04,2016-04-13
2015-16,2746,LAC,2015-10-28,2016-01-16
2015-16,2746,HOU,2016-01-22,2016-04-13
2015-16,2755,MIN,2015-10-28,2016-02-24
2015-16,2755,SAS,2016-03-10,2016-04-13
2015-16,2757,MEM,2015-10-28,2015-11-09
2015-16,2757,MIA,2015-11-12,2016-02-22
2015-16,2760,CLE,2015-10-27,2016-02-10
2015-16,2760,GSW,2016-02-24,2016-04-13
2015-16,101112,ORL,2015-11-01,2016-02-08
2015-16,101112,CLE,2016-02-22,2016-04-13
2015-16,101135,BOS,2015-10-28,2016-01-10
2015-16,101135,DAL,2016-02-24,2016-04-13
2015-16,101141,DET,2015-10-27,2016-02-08
2015-16,101141,ORL,2016-02-19,2016-04-13
2015-16,200751,DEN,2015-10-28,2016-02-10
2015-16,200751,OKC,2016-02-21,2016-04-12
2015-16,200779,OKC,2015-11-13,2016-02-11
2015-16,200779,MIL,2016-02-22,2016-02-27
2015-16,200797,WAS,2015-12-02,2015-12-11
2015-16,200797,MEM,2015-12-29,2016-04-05
2015-16,201145,MEM,2015-10-28,2016-02-10
2015-16,201145,LAC,2016-02-20,2016-04-13
2015-16,201571,OKC,2015-10-28,2016-01-29
2015-16,201571,DEN,2016-02-19,2016-04-13
2015-16,201574,GSW,2015-10-30,2016-02-20
2015-16,201574,TOR,2016-03-04,2016-04-13
2015-16,201581,DEN,2015-11-01,2016-02-05
2015-16,201581,WAS,2016-02-28,2016-04-13
2015-16,201584,MEM,2015-10-28,2016-02-10
2015-16,201584,CHA,2016-02-21,2016-04-13
2015-16,201596,MIA,2015-10-28,2015-11-08
2015-16,201596,MEM,2015-11-13,2016-03-09
2015-16,201943,DET,2015-12-29,2016-02-10
2015-16,201943,ORL,2016-02-19,2016-04-06
2015-16,201951,HOU,2015-10-28,2016-02-29
2015-16,201951,IND,2016-03-07,2016-04-13
2015-16,201977,HOU,2015-11-01,2016-02-10
2015-16,201977,WAS,2016-03-11,2016-04-13
2015-16,201978,IND,2015-10-28,2016-03-04
2015-16,201978,PHX,2016-03-09,2016-04-13
2015-16,202362,LAC,2015-10-28,2016-02-10
2015-16,202362,MEM,2016-02-21,2016-04-13
2015-16,202397,NOP,2015-10-27,2015-12-23
2015-16,202397,PHI,2015-12-26,2016-04-13
2015-16,202690,NOP,2015-11-10,2015-11-18
2015-16,202690,NYK,2016-02-22,2016-03-01
2015-16,202693,PHX,2015-10-28,2016-02-10
2015-16,202693,WAS,2016-02-19,2016-04-10
2015-16,202699,ORL,2015-10-28,2016-02-05
2015-16,202699,DET,2016-02-19,2016-04-12
2015-16,202714,ATL,2015-11-04,2016-02-10
2015-16,202714,UTA,2016-02-21,2016-04-13
2015-16,203098,DAL,2015-10-28,2016-02-01
2015-16,203098,PHX,2016-02-25,2016-04-13
2015-16,203099,CLE,2015-10-27,2016-02-10
2015-16,203099,MIL,2016-03-20,2016-03-25
2015-16,203148,CHA,2015-10-28,2016-02-10
2015-16,203148,POR,2016-02-19,2016-04-13
2015-16,203200,ATL,2015-10-29,2016-02-10
2015-16,203200,CHI,2016-02-24,2016-04-13
2015-16,203475,DEN,2015-10-28,2015-11-01
2015-16,203475,UTA,2016-01-27,2016-02-10
2015-16,203492,SAS,2015-10-30,2016-02-27
2015-16,203492,MEM,2016-03-12,2016-03-30
2015-16,203515,PHI,2015-11-04,2015-12-02
2015-16,203515,PHX,2016-02-21,2016-03-10
2015-16,203516,MIA,2015-10-30,2015-11-08
2015-16,203516,MEM,2015-11-20,2016-02-26
2015-16,203516,NOP,2016-03-30,2016-04-13
2015-16,203798,CHA,2015-10-28,2016-02-10
2015-16,203798,MEM,2016-02-19,2016-04-13
2015-16,203895,PHX,2016-01-29,2016-02-19
2015-16,203895,CLE,2016-02-28,2016-04-13
2015-16,203930,DEN,2016-01-15,2016-02-01
2015-16,203930,BKN,2016-02-29,2016-04-13
2015-16,203950,MEM,2015-11-05,2015-11-07
2015-16,203950,MIA,2016-01-20,2016-02-09
2015-16,203955,PHX,2015-12-30,2016-01-02
2015-16,203955,MEM,2016-04-03,2016-04-13
2015-16,203960,PHI,2015-10-28,2016-02-06
2015-16,203960,DEN,2016-02-23,2016-04-13
2015-16,204025,POR,2015-10-30,2016-02-10
2015-16,204025,NOP,2016-03-16,2016-04-13
2015-16,1627362,MEM,2016-03-11,2016-03-19
2015-16,1627362,MIA,2016-04-10,2016-04-10
2016-17,2399,CLE,2016-10-25,2016-12-29
2016-17,2399,ATL,2017-01-13,2017-04-12
2016-17,2440,SAC,2016-10-26,2017-02-15
2016-17,2440,GSW,2017-03-02,2017-04-08
2016-17,2594,ATL,2016-10-27,2017-01-04
2016-17,2594,CLE,2017-01-10,2017-04-12
2016-17,101106,DAL,2016-10-26,2017-02-15
2016-17,101106,CLE,2017-03-06,2017-03-06
2016-17,101114,DAL,2016-10-26,2017-02-15
2016-17,101114,CLE,2017-03-01,2017-04-12
2016-17,101141,OKC,2016-10-26,2016-10-30
2016-17,101141,PHI,2016-11-02,2017-02-15
2016-17,101141,ATL,2017-02-24,2017-04-12
2016-17,101150,LAL,2016-10-26,2017-02-15
2016-17,101150,HOU,2017-02-23,2017-04-12
2016-17,101181,LAL,2016-10-30,2017-02-08
2016-17,101181,ATL,2017-03-08,2017-04-12
2016-17,200782,PHX,2016-10-26,2017-02-15
2016-17,200782,TOR,2017-02-24,2017-04-12
2016-17,201147,HOU,2016-10-26,2017-02-15
2016-17,201147,LAL,2017-02-24,2017-04-12
2016-17,201150,CHA,2016-10-26,2017-02-01
2016-17,201150,MIL,2017-03-03,2017-04-12
2016-17,201579,CHA,2016-10-26,2017-01-31
2016-17,201579,DEN,2017-02-28,2017-04-09
2016-17,201586,ORL,2016-10-26,2017-02-13
2016-17,201586,TOR,2017-02-24,2017-04-09
2016-17,201627,OKC,2016-10-30,2017-02-15
2016-17,201627,CHI,2017-02-28,2017-04-12
2016-17,201936,NOP,2016-12-15,2017-02-15
2016-17,201936,SAC,2017-02-23,2017-04-07
2016-17,201943,NYK,2016-10-25,2017-02-25
2016-17,201943,WAS,2017-03-03,2017-04-12
2016-17,201956,SAC,2016-10-26,2017-01-13
2016-17,201956,NOP,2017-02-23,2017-02-23
2016-17,201956,MIN,2017-03-21,2017-04-12
2016-17,201959,CHI,2016-10-27,2017-02-16
2016-17,201959,OKC,2017-02-24,2017-04-12
2016-17,202326,SAC,2016-10-26,2017-02-15
2016-17,202326,NOP,2017-02-23,2017-04-04
2016-17,202362,NOP,2016-10-26,2016-11-04
2016-17,202362,MIN,2017-02-08,2017-03-15
2016-17,202362,IND,2017-04-02,2017-04-12
2016-17,202682,MIA,2016-11-07,2017-02-04
2016-17,202682,CLE,2017-02-09,2017-04-12
2016-17,202711,BKN,2016-10-26,2017-02-15
2016-17,202711,WAS,2017-02-24,2017-04-12
2016-17,202732,CLE,2016-10-25,2017-04-07
2016-17,202732,DAL,2017-04-12,2017-04-12
2016-17,203082,TOR,2016-10-26,2017-02-12
2016-17,203082,ORL,2017-02-23,2017-04-12
2016-17,203093,NOP,2016-10-26,2017-02-08
2016-17,203093,MIL,2017-03-13,2017-03-26
2016-17,203094,WAS,2016-10-27,2017-02-13
2016-17,203094,BKN,2017-03-03,2017-04-12
2016-17,203101,MIL,2016-10-26,2017-01-27
2016-17,203101,CHA,2017-02-04,2017-04-11
2016-17,203112,DAL,2016-10-26,2016-11-14
2016-17,203112,BKN,2017-01-10,2017-04-08
2016-17,203138,PHI,2016-10-26,2017-01-03
2016-17,203138,NOP,2017-02-23,2017-03-11
2016-17,203457,PHI,2016-12-11,2017-02-15
2016-17,203457,DAL,2017-02-25,2017-04-12
2016-17,203462,NOP,2016-11-12,2016-11-16
2016-17,203462,BKN,2017-03-19,2017-04-12
2016-17,203486,POR,2016-10-25,2017-02-09
2016-17,203486,DEN,2017-02-15,2017-04-12
2016-17,203530,OKC,2016-10-28,2017-02-15
