"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Khris Middleton","MIL",23,922,1838,542,138,277,0.4981949458483754,60,175,0.34285714285714286,0.3448275862068966,86,92,184,90,90,0.3333333333333333,0.35384615384615387,0.5,0.38716814159292035,0.47838070953436806,0.504424778761062,0.5489795918367347,16,16,0.05776173285198556,3,0.017142857142857144,26.806083650190114
"Jrue Holiday","MIL",23,912,1832,399,115,247,0.46558704453441296,43,142,0.3028169014084507,0.3049645390070922,40,54,176,63,66,0.23478260869565218,0.24107142857142858,0.4883720930232558,0.36503856041131105,0.5136270618556701,0.461439588688946,0.48188405797101447,6,16,0.06477732793522267,2,0.014084507042253521,22.169811320754718
"Devin Booker","PHX",22,889,1755,601,168,337,0.49851632047477745,44,137,0.32116788321167883,0.3333333333333333,133,108,228,75,57,0.32142857142857145,0.3253012048192771,0.5681818181818182,0.2890295358649789,0.46654808102345413,0.4936708860759494,0.5577281191806331,4,22,0.06528189910979229,1,0.0072992700729927005,31.987577639751553
"Deandre Ayton","PHX",22,801,1583,347,154,234,0.6581196581196581,0,0,0,0,39,258,50,0,0,0.8376623376623377,0.9347826086956522,0,0,0.5425534188034188,0.6581196581196581,0.677734375,32,13,0.05555555555555555,0,0,16.256439610761305
"Giannis Antetokounmpo","MIL",21,800,1598,634,237,369,0.6422764227642277,13,70,0.18571428571428572,0.18840579710144928,121,210,264,21,18,0.4430379746835443,0.4861111111111111,0.5384615384615384,0.15945330296127563,0.5378746575342466,0.5842824601366743,0.5992438563327032,42,12,0.032520325203252036,0,0,32.140921409214094
"Paul George","LAC",19,776,1497,511,114,222,0.5135135135135135,51,152,0.3355263157894737,0.3333333333333333,130,46,182,84,69,0.20175438596491227,0.20353982300884957,0.5490196078431373,0.40641711229946526,0.5007086021505376,0.5093582887700535,0.5751708428246014,2,12,0.05405405405405406,1,0.006578947368421052,30.458383594692403
"Jae Crowder","PHX",22,729,1451,237,22,42,0.5238095238095238,54,142,0.38028169014084506,0.38028169014084506,31,38,6,156,6,0.8636363636363636,0.9047619047619048,0.9629629629629629,0.7717391304347826,0.5254754098360656,0.5597826086956522,0.6015228426395939,2,1,0.023809523809523808,2,0.014084507042253521,13.5678391959799
"Mikal Bridges","PHX",22,707,1397,244,57,95,0.6,35,95,0.3684210526315789,0.3684210526315789,25,72,42,102,3,0.631578947368421,0.6923076923076923,0.9714285714285714,0.5,0.5437428947368421,0.5763157894736842,0.6039603960396039,10,7,0.07368421052631578,1,0.010526315789473684,14.201954397394138
"Chris Paul","PHX",20,683,1347,384,120,235,0.5106382978723404,29,65,0.4461538461538462,0.4461538461538462,57,18,222,27,60,0.075,0.075,0.3103448275862069,0.21666666666666667,0.4501103333333333,0.545,0.583076923076923,0,6,0.02553191489361702,0,0,24.73045822102426
"P.J. Tucker","MIL",23,681,1355,98,19,39,0.48717948717948717,19,59,0.3220338983050847,0.3220338983050847,3,26,12,54,3,0.6842105263157895,0.9285714285714286,0.9473684210526315,0.6020408163265306,0.5772142857142857,0.4846938775510204,0.49,10,5,0.1282051282051282,1,0.01694915254237288,7.101355713363461
