SEASON,PLAYER_ID,TEAM,OffPoss,Points,FG2M,FG2A,FG3M,FG3A,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks
2013-14,708,BKN,2072,352,157,353,0,3,38,252,62,0,0,16
2013-14,951,MIA,3637,701,124,234,116,309,105,128,120,333,15,2
2013-14,959,LAL,656,102,28,70,8,24,22,8,48,18,6,0
2013-14,965,OKC,2804,425,53,132,88,229,55,66,40,195,69,2
2013-14,977,LAL,357,83,28,57,3,16,18,14,42,6,3,2
2013-14,979,GSW,1724,349,125,248,0,0,99,148,102,0,0,34
2013-14,1495,SAS,4239,1119,444,901,0,5,231,594,294,0,0,88
2013-14,1497,DET,603,72,10,31,14,48,10,6,14,27,15,0
2013-14,1713,DAL,3889,967,184,440,146,371,161,76,292,333,105,24
2013-14,1717,DAL,5141,1735,502,944,131,329,338,502,502,372,21,28
2013-14,1718,BKN,3994,1010,209,412,112,300,256,198,220,318,18,10
2013-14,1733,WAS,986,225,48,107,34,100,27,62,34,102,0,6
2013-14,1737,CHI,1020,124,54,126,0,0,16,60,48,0,0,36
2013-14,1740,MIA,1811,268,52,102,46,134,26,60,44,138,0,6
2013-14,1882,ATL,2753,419,179,330,0,2,61,298,60,0,0,22
2013-14,1889,DEN,1090,176,57,126,9,18,35,22,92,24,3,2
2013-14,1889,WAS,764,107,38,84,2,3,25,14,62,6,0,0
2013-14,1890,DAL,4682,791,283,546,58,162,51,450,116,174,0,54
2013-14,1891,BKN,1099,159,16,49,39,103,10,18,14,99,18,0
2013-14,1897,NYK,756,139,39,87,17,54,10,20,58,42,9,6
2013-14,1905,BKN,1626,226,81,155,1,5,61,112,50,3,0,20
2013-14,1938,SAS,3121,838,204,369,90,258,160,172,236,222,48,18
2013-14,2030,NYK,1163,137,63,122,0,1,11,86,40,0,0,24
2013-14,2034,MEM,3245,579,106,210,107,233,46,142,70,312,9,14
2013-14,2037,LAC,4194,1282,260,565,161,446,279,188,332,363,120,6
2013-14,2045,LAC,760,115,20,59,22,50,9,28,12,60,6,0
2013-14,2199,NYK,3103,480,191,321,0,1,98,294,88,0,0,60
2013-14,2200,LAL,3878,1041,421,871,4,14,187,496,346,9,3,64
2013-14,2203,MIA,2795,298,32,65,73,210,15,40,24,210,9,12
2013-14,2207,BKN,4876,1245,300,614,162,404,159,150,450,411,75,16
2013-14,2210,UTA,4185,831,171,353,123,301,120,166,176,354,15,4
2013-14,2215,BKN,343,25,11,21,0,3,3,16,6,0,0,2
2013-14,2216,MEM,5028,1372,558,1178,2,20,250,514,602,6,0,174
