PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Tristan Thompson,32,741,14.079,14.433,-0.35,2022-23,1610612747
Jarred Vanderbilt,247,526,14.491,14.385,0.11,2022-23,1610612747
LeBron James,619,154,14.471,14.216,0.26,2022-23,1610612747
Anthony Davis,608,165,14.371,14.599,-0.23,2022-23,1610612747
Austin Reaves,579,194,14.413,14.439,-0.03,2022-23,1610612747
D'Angelo Russell,473,300,14.411,14.432,-0.02,2022-23,1610612747
Rui Hachimura,388,385,14.294,14.544,-0.25,2022-23,1610612747
Dennis Schroder,417,356,14.374,14.471,-0.10,2022-23,1610612747
Troy Brown Jr.,124,649,14.605,14.383,0.22,2022-23,1610612747
Malik Beasley,91,682,14.325,14.432,-0.11,2022-23,1610612747
Shaquille Harrison,28,745,14.069,14.433,-0.36,2022-23,1610612747
Lonnie Walker IV,179,594,14.872,14.289,0.58,2022-23,1610612747
Max Christie,33,740,13.562,14.461,-0.90,2022-23,1610612747
Mo Bamba,10,763,14.818,14.414,0.41,2022-23,1610612747
Wenyen Gabriel,37,736,14.636,14.408,0.23,2022-23,1610612747
