PLAYER_NAME,MINUTES_ON,MINUTES_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,SECONDS_PER_POSS_OFFENSE_PLAYER_OFF,SECONDS_PER_POSS_OFFENSE_PLAYER_ON_OFF,SEASON,TEAM_ID
Allen Crabbe,2105,1856,15.105,15.374,-0.27,2015-16,1610612757
Chris Kaman,112,3849,15.936,15.210,0.73,2015-16,1610612757
Gerald Henderson,1431,2530,15.463,15.100,0.36,2015-16,1610612757
Maurice Harkless,1457,2504,15.174,15.263,-0.09,2015-16,1610612757
Cliff Alexander,36,3925,14.270,15.239,-0.97,2015-16,1610612757
Meyers Leonard,1332,2628,15.302,15.194,0.11,2015-16,1610612757
Noah Vonleh,1174,2787,15.537,15.105,0.43,2015-16,1610612757
Al-Farouq Aminu,2341,1620,14.993,15.579,-0.59,2015-16,1610612757
Damian Lillard,2676,1285,15.019,15.687,-0.67,2015-16,1610612757
CJ McCollum,2780,1181,15.215,15.267,-0.05,2015-16,1610612757
Ed Davis,1684,2277,15.620,14.950,0.67,2015-16,1610612757
Mason Plumlee,2084,1877,15.094,15.381,-0.29,2015-16,1610612757
Tim Frazier,272,3689,15.899,15.183,0.72,2015-16,1610612757
Luis Montero,42,3919,17.232,15.209,2.02,2015-16,1610612757
Brian Roberts,137,3824,15.429,15.223,0.21,2015-16,1610612757
Pat Connaughton,143,3818,15.605,15.216,0.39,2015-16,1610612757
