TEAM,PG,SG,SF,PF,C
Atlanta,T. Young,D. Murray,D. Hunter,J. Collins,C. Capela
Boston,M. Smart,J. Brown,J. Brown,J. Tatum,R. Williams III
Brooklyn,S. Dinwiddie,M. Bridges,C. Johnson,D. Finney-Smith,N. Claxton
Charlotte,T. Rozier,K. Oubre Jr.,G. Hayward,P. Washington,M. Williams
Chicago,P. Beverley,A. Caruso,Z. LaVine,D. DeRozan,N. Vucevic
Cleveland,D. Garland,D. Mitchell,I. Okoro,E. Mobley,J. Allen
Dallas,L. Doncic,K. Irving,T. Hardaway Jr.,R. Bullock,D. Powell
Denver,J. Murray,K. Caldwell-Pope,M. Porter Jr.,A. Gordon,N. Jokic
Detroit,K. Hayes,J. Ivey,B. Bogdanovic,M. Bagley III,J. Wiseman
Golden State,S. Curry,K. Thompson,A. Wiggins,D. Green,K. Looney
Houston,K. Porter Jr.,J. Green,K. Martin Jr.,J. Smith Jr.,A. Sengun
Indiana,T. Haliburton,A. Nembhard,B. Hield,A. Nesmith,M. Turner
LA Clippers,R. Westbrook,P. George,K. Leonard,N. Batum,I. Zubac
LA Lakers,D. Russell,A. Reaves,L. James,J. Vanderbilt,A. Davis
Memphis,J. Morant,D. Bane,D. Brooks,J. Jackson Jr.,X. Tillman
Miami,G. Vincent,M. Strus,J. Butler,K. Love,B. Adebayo
Milwaukee,J. Holiday,G. Allen,K. Middleton,G. Antetokounmpo,B. Lopez
Minnesota,M. Conley,A. Edwards,J. McDaniels,K. Towns,R. Gobert
New Orleans,C. McCollum,T. Murphy III,B. Ingram,H. Jones,J. Valanciunas
New York,J. Brunson,Q. Grimes,R. Barrett,J. Randle,M. Robinson
Oklahoma City,S. Gilgeous-Alexander,J. Giddey,L. Dort,J. Williams,J. Williams
Orlando,M. Fultz,G. Harris,F. Wagner,P. Banchero,W. Carter Jr.
Philadelphia,J. Harden,T. Maxey,T. Harris,P. Tucker,J. Embiid
Phoenix,C. Paul,D. Booker,J. Okogie,K. Durant,D. Ayton
Portland,A. Simons,S. Sharpe,M. Thybulle,J. Grant,J. Nurkic
Sacramento,D. Fox,K. Huerter,H. Barnes,K. Murray,D. Sabonis
San Antonio,T. Jones,D. Vassell,K. Johnson,J. Sochan,Z. Collins
Toronto,F. VanVleet,O. Anunoby,S. Barnes,P. Siakam,J. Poeltl
Utah,C. Sexton,J. Clarkson,L. Markkanen,K. Olynyk,W. Kessler
Washington,M. Morris,B. Beal,K. Kuzma,K. Porzingis,D. Gafford
