PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1626151,Aaron Harrison,CHA,0.2,6,1,2.0,2015-16
201143,Al Horford,ATL,17.9,655,402,0.6,2015-16
2744,Al Jefferson,CHA,8.0,200,165,0.77,2015-16
202329,Al-Farouq Aminu,POR,14.9,506,294,0.86,2015-16
203459,Allen Crabbe,POR,9.6,330,233,0.61,2015-16
2405,Amar'e Stoudemire,MIA,2.7,95,72,0.4,2015-16
101161,Amir Johnson,BOS,4.8,194,114,0.5,2015-16
2760,Anderson Varejao,GSW,4.1,150,97,0.57,2015-16
203083,Andre Drummond,DET,4.0,123,93,0.74,2015-16
2738,Andre Iguodala,GSW,60.0,1218,766,1.93,2015-16
1889,Andre Miller,SAS,7.2,86,36,4.18,2015-16
203460,Andre Roberson,OKC,8.8,408,249,0.45,2015-16
101106,Andrew Bogut,GSW,17.7,630,374,0.45,2015-16
202726,Andrew Goudelock,HOU,1.6,18,7,5.11,2015-16
201627,Anthony Morrow,OKC,1.6,46,41,1.41,2015-16
201229,Anthony Tolliver,DET,0.7,32,15,0.19,2015-16
203382,Aron Baynes,DET,0.9,34,26,0.38,2015-16
203085,Austin Rivers,LAC,23.1,267,100,5.29,2015-16
202340,Avery Bradley,BOS,1.3,38,28,1.34,2015-16
202687,Bismack Biyombo,TOR,17.5,707,302,0.26,2015-16
201933,Blake Griffin,LAC,11.2,274,171,1.19,2015-16
1626246,Boban Marjanovic,SAS,2.1,67,45,0.17,2015-16
2564,Boris Diaw,SAS,11.5,326,215,0.89,2015-16
201575,Brandon Rush,GSW,4.1,135,76,0.92,2015-16
203148,Brian Roberts,POR,4.3,46,20,5.09,2015-16
1627362,Briante Weber,MIA,1.2,13,4,4.38,2015-16
203912,C.J. Wilcox,LAC,0.4,8,3,2.63,2015-16
203468,CJ McCollum,POR,51.8,677,346,4.37,2015-16
101139,CJ Miles,IND,3.0,120,74,0.86,2015-16
1626166,Cameron Payne,OKC,13.5,132,37,6.04,2015-16
101112,Channing Frye,CLE,8.7,371,174,0.22,2015-16
101111,Charlie Villanueva,DAL,0.7,29,20,0.79,2015-16
2365,Chris Andersen,MEM,3.2,120,61,0.21,2015-16
2549,Chris Kaman,POR,1.9,59,40,0.8,2015-16
101108,Chris Paul,LAC,31.9,330,121,5.26,2015-16
203991,Clint Capela,HOU,1.3,51,19,0.43,2015-16
203469,Cody Zeller,CHA,3.4,119,81,0.59,2015-16
202332,Cole Aldrich,LAC,3.7,142,54,0.35,2015-16
201147,Corey Brewer,HOU,3.4,98,69,1.05,2015-16
202709,Cory Joseph,TOR,92.8,915,354,6.62,2015-16
201584,Courtney Lee,CHA,14.7,315,160,1.63,2015-16
2563,Dahntay Jones,CLE,2.1,46,30,1.22,2015-16
203081,Damian Lillard,POR,105.8,1036,294,5.96,2015-16
201980,Danny Green,SAS,11.2,374,220,0.79,2015-16
101135,David Lee,DAL,1.3,45,24,0.42,2015-16
2561,David West,SAS,7.8,309,193,0.36,2015-16
201599,DeAndre Jordan,LAC,8.3,351,170,0.24,2015-16
201942,DeMar DeRozan,TOR,84.7,1188,838,3.7,2015-16
201960,DeMarre Carroll,TOR,23.1,692,433,1.03,2015-16
1626153,Delon Wright,TOR,5.9,72,30,4.13,2015-16
203471,Dennis Schroder,ATL,42.9,524,247,4.14,2015-16
101114,Deron Williams,DAL,9.6,146,67,3.32,2015-16
2734,Devin Harris,DAL,7.9,194,118,1.75,2015-16
203079,Dion Waiters,OKC,39.8,516,292,3.92,2015-16
1717,Dirk Nowitzki,DAL,8.4,256,182,0.59,2015-16
202700,Donatas Motiejunas,HOU,5.0,197,126,0.59,2015-16
2748,Dorell Wright,MIA,1.3,33,20,1.45,2015-16
203110,Draymond Green,GSW,81.9,2116,1121,1.29,2015-16
2730,Dwight Howard,HOU,9.2,308,168,0.46,2015-16
203939,Dwight Powell,DAL,3.0,97,60,0.3,2015-16
2548,Dwyane Wade,MIA,72.3,891,528,4.24,2015-16
202334,Ed Davis,POR,8.7,345,154,0.34,2015-16
202683,Enes Freedom,OKC,12.5,506,215,0.27,2015-16
202323,Evan Turner,BOS,21.9,396,246,2.56,2015-16
203105,Festus Ezeli,GSW,7.8,328,192,0.25,2015-16
1626163,Frank Kaminsky,CHA,7.7,317,133,0.57,2015-16
201588,George Hill,IND,23.5,378,196,3.23,2015-16
101123,Gerald Green,MIA,3.9,119,85,1.03,2015-16
201945,Gerald Henderson,POR,12.1,278,212,1.6,2015-16
203922,Glenn Robinson III,IND,0.4,12,10,1.42,2015-16
