PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1630639,A.J. Lawson,DAL,3.5,147,88,0.75,2022-23
1631260,AJ Green,MIL,17.8,423,259,1.74,2022-23
1631100,AJ Griffin,ATL,52.8,1518,1024,1.51,2022-23
203932,Aaron Gordon,DEN,142.0,2890,1622,2.1,2022-23
1628988,Aaron Holiday,ATL,90.7,1292,502,3.87,2022-23
1630174,Aaron Nesmith,IND,73.6,2635,1515,0.81,2022-23
1630598,Aaron Wiggins,OKC,46.5,1465,913,1.25,2022-23
1629678,Admiral Schofield,ORL,21.7,714,357,0.91,2022-23
201143,Al Horford,BOS,73.6,2880,1599,0.48,2022-23
202692,Alec Burks,DET,87.4,1729,1059,2.34,2022-23
1630197,Aleksej Pokusevski,OKC,37.7,1418,771,0.75,2022-23
1627936,Alex Caruso,CHI,120.5,2780,1144,1.84,2022-23
203458,Alex Len,SAC,6.2,254,140,0.39,2022-23
1628993,Alize Johnson,SAS,2.1,46,22,1.98,2022-23
1631214,Alondes Williams,BKN,0.4,9,3,2.0,2022-23
1630578,Alperen Sengun,HOU,169.2,4203,2885,1.25,2022-23
1629599,Amir Coffey,LAC,28.3,681,503,1.66,2022-23
203083,Andre Drummond,CHI,27.3,1152,701,0.48,2022-23
2738,Andre Iguodala,GSW,5.0,171,93,0.68,2022-23
1629614,Andrew Nembhard,IND,225.0,3700,1781,3.32,2022-23
203952,Andrew Wiggins,GSW,63.3,1663,1138,1.48,2022-23
1629014,Anfernee Simons,POR,332.9,4181,2005,4.18,2022-23
203076,Anthony Davis,LAL,138.2,3837,2139,0.91,2022-23
1630162,Anthony Edwards,MIN,370.2,5568,2894,3.44,2022-23
1630264,Anthony Gill,WAS,19.4,656,428,0.77,2022-23
1630237,Anthony Lamb,GSW,60.1,1989,1067,0.95,2022-23
1630559,Austin Reaves,LAL,160.6,2682,1392,3.1,2022-23
203085,Austin Rivers,MIN,59.1,1184,694,2.37,2022-23
1630245,Ayo Dosunmu,CHI,193.6,3375,1315,3.14,2022-23
1628389,Bam Adebayo,MIA,220.3,4639,2717,1.59,2022-23
1627732,Ben Simmons,BKN,146.7,2577,903,2.35,2022-23
1631097,Bennedict Mathurin,IND,135.8,3273,2228,1.69,2022-23
202687,Bismack Biyombo,PHX,36.8,1408,818,0.47,2022-23
201933,Blake Griffin,BOS,23.5,842,510,0.65,2022-23
1631104,Blake Wesley,SAS,99.3,1231,438,4.46,2022-23
1626246,Boban Marjanovic,HOU,7.8,225,148,0.85,2022-23
1626171,Bobby Portis,MIL,101.6,3463,1747,0.74,2022-23
203992,Bogdan Bogdanovic,ATL,97.9,2185,1351,1.9,2022-23
202711,Bojan Bogdanovic,DET,133.5,2701,1913,2.15,2022-23
1629626,Bol Bol,ORL,63.3,1638,925,1.56,2022-23
1630538,Bones Hyland,LAC,202.5,2557,1077,4.09,2022-23
203078,Bradley Beal,WAS,255.5,3393,1961,4.07,2022-23
1630527,Brandon Boston Jr.,LAC,21.1,429,244,2.61,2022-23
1629634,Brandon Clarke,MEM,40.3,1594,998,0.65,2022-23
1627742,Brandon Ingram,NOP,202.0,2974,1730,3.11,2022-23
1630296,Braxton Key,DET,0.3,10,4,1.0,2022-23
201572,Brook Lopez,MIL,63.9,2676,1835,0.43,2022-23
1628971,Bruce Brown,DEN,243.2,4127,1973,2.91,2022-23
1628981,Bruno Fernando,ATL,16.8,719,420,0.49,2022-23
1631121,Bryce McGowens,CHA,34.7,872,577,1.51,2022-23
1627854,Bryn Forbes,MIN,10.2,297,223,1.31,2022-23
1631205,Buddy Boeheim,DET,1.9,87,52,0.41,2022-23
1627741,Buddy Hield,IND,158.6,4698,2722,1.33,2022-23
203468,CJ McCollum,NOP,410.4,5632,2454,3.88,2022-23
