PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1889,Andre Miller,DEN,85.5,1088,524,4.13,2013-14
1889,Andre Miller,WAS,82.8,929,335,5.07,2013-14
2406,Caron Butler,MIL,53.0,1519,1012,0.94,2013-14
2406,Caron Butler,OKC,19.8,646,456,0.63,2013-14
2422,John Salmons,SAC,21.7,512,398,1.71,2013-14
2422,John Salmons,TOR,67.7,1585,1270,1.81,2013-14
2501,Reggie Evans,BKN,14.1,477,221,0.42,2013-14
2501,Reggie Evans,SAC,18.0,590,278,0.48,2013-14
2557,Luke Ridnour,MIL,122.2,1553,752,5.06,2013-14
2557,Luke Ridnour,CHA,77.4,929,328,5.36,2013-14
2581,Steve Blake,LAL,153.3,2050,874,4.54,2013-14
2581,Steve Blake,GSW,112.1,1171,388,5.9,2013-14
2736,Luol Deng,CHI,46.6,1286,1054,1.25,2013-14
2736,Luol Deng,CLE,74.9,2008,1628,1.28,2013-14
2757,Beno Udrih,NYK,114.1,1450,585,4.71,2013-14
2757,Beno Udrih,MEM,8.0,107,51,4.55,2013-14
101115,Andrew Bynum,CLE,24.0,617,442,0.76,2013-14
101115,Andrew Bynum,IND,2.1,61,42,0.31,2013-14
101122,Danny Granger,IND,31.5,839,696,1.09,2013-14
101122,Danny Granger,LAC,9.7,264,216,1.1,2013-14
101236,Chuck Hayes,SAC,6.1,235,120,0.31,2013-14
101236,Chuck Hayes,TOR,22.2,834,400,0.36,2013-14
200752,Rudy Gay,TOR,58.1,997,652,2.63,2013-14
200752,Rudy Gay,SAC,169.7,3029,2218,2.18,2013-14
200758,Ronnie Brewer,HOU,4.7,156,108,0.85,2013-14
200758,Ronnie Brewer,CHI,0.0,2,2,0.0,2013-14
200769,Shannon Brown,SAS,6.9,144,109,2.29,2013-14
200769,Shannon Brown,NYK,10.0,194,126,2.48,2013-14
200811,Lou Amundson,NOP,7.4,290,134,0.42,2013-14
200811,Lou Amundson,CHI,0.0,3,1,0.0,2013-14
201150,Spencer Hawes,PHI,95.6,3614,2120,0.42,2013-14
201150,Spencer Hawes,CLE,46.4,1665,934,0.51,2013-14
201166,Aaron Brooks,HOU,105.0,1362,603,4.74,2013-14
201166,Aaron Brooks,DEN,136.3,1497,479,5.84,2013-14
201175,Glen Davis,ORL,64.8,2159,1458,0.52,2013-14
201175,Glen Davis,LAC,10.1,375,217,0.44,2013-14
201189,Aaron Gray,TOR,0.8,28,13,0.21,2013-14
201189,Aaron Gray,SAC,13.1,476,253,0.42,2013-14
201196,Ramon Sessions,CHA,231.5,2973,1458,4.08,2013-14
201196,Ramon Sessions,MIL,145.7,1945,990,3.87,2013-14
201202,Joel Anthony,MIA,0.9,30,12,0.6,2013-14
201202,Joel Anthony,BOS,4.5,150,80,0.49,2013-14
201571,D.J. Augustin,TOR,12.9,153,59,5.3,2013-14
201571,D.J. Augustin,CHI,445.7,4752,2024,6.2,2013-14
201573,Jerryd Bayless,MEM,93.3,1240,631,4.19,2013-14
201573,Jerryd Bayless,BOS,149.1,1945,1004,4.25,2013-14
201584,Courtney Lee,BOS,32.7,702,535,2.16,2013-14
201584,Courtney Lee,MEM,86.8,2007,1426,1.74,2013-14
201601,Luc Mbah a Moute,SAC,5.8,210,131,0.67,2013-14
201601,Luc Mbah a Moute,MIN,25.3,874,589,0.64,2013-14
201785,Othyus Jeffers,SAS,1.2,34,27,0.38,2013-14
201785,Othyus Jeffers,MIN,0.5,14,10,1.28,2013-14
201858,Cartier Martin,ATL,35.0,1084,803,1.14,2013-14
201858,Cartier Martin,CHI,1.1,36,26,1.08,2013-14
201947,Earl Clark,CLE,28.7,971,627,0.88,2013-14
201947,Earl Clark,NYK,3.7,92,40,1.36,2013-14
201948,Austin Daye,TOR,2.1,66,35,0.79,2013-14
201948,Austin Daye,SAS,7.3,250,161,0.66,2013-14
201957,Byron Mullens,LAC,6.2,278,157,0.24,2013-14
201957,Byron Mullens,PHI,11.0,485,267,0.25,2013-14
201962,Toney Douglas,GSW,35.9,511,212,4.27,2013-14
201962,Toney Douglas,MIA,45.2,754,433,3.57,2013-14
201977,Marcus Thornton,SAC,46.1,1142,838,1.76,2013-14
201977,Marcus Thornton,BKN,41.9,826,485,2.64,2013-14
201986,Nando De Colo,SAS,25.4,553,381,2.18,2013-14
201986,Nando De Colo,TOR,27.2,370,193,4.57,2013-14
202323,Evan Turner,PHI,169.6,3363,2340,2.24,2013-14
202323,Evan Turner,IND,56.2,902,576,3.04,2013-14
202335,Patrick Patterson,SAC,14.6,620,328,0.37,2013-14
202335,Patrick Patterson,TOR,42.6,1898,1139,0.44,2013-14
202348,Jordan Crawford,BOS,269.2,2922,954,5.42,2013-14
202348,Jordan Crawford,GSW,80.3,1004,515,4.42,2013-14
202349,Greivis Vasquez,SAC,100.3,1096,400,4.78,2013-14
202349,Greivis Vasquez,TOR,293.3,3319,1407,4.91,2013-14
202363,Jarvis Varnado,CHI,0.0,1,1,0.0,2013-14
202363,Jarvis Varnado,PHI,11.2,474,275,0.28,2013-14
202390,Gary Neal,MIL,47.0,951,694,2.23,2013-14
202390,Gary Neal,CHA,36.6,823,726,1.5,2013-14
202399,Jeff Adrien,CHA,4.4,203,115,0.32,2013-14
202399,Jeff Adrien,MIL,36.0,1210,715,0.54,2013-14
202620,Arinze Onuaku,NOP,0.9,36,12,0.17,2013-14
202620,Arinze Onuaku,CLE,0.1,4,2,0.25,2013-14
202682,Derrick Williams,MIN,7.1,217,137,0.76,2013-14
202682,Derrick Williams,SAC,75.9,2069,1240,1.0,2013-14
202686,Jan Vesely,WAS,13.5,674,334,0.31,2013-14
202686,Jan Vesely,DEN,10.2,486,243,0.36,2013-14
202690,Jimmer Fredette,SAC,82.9,948,403,5.51,2013-14
202690,Jimmer Fredette,CHI,11.3,140,60,4.94,2013-14
202705,MarShon Brooks,BOS,8.2,122,68,3.38,2013-14
202705,MarShon Brooks,GSW,2.5,29,17,4.17,2013-14
202705,MarShon Brooks,LAL,18.3,329,210,2.51,2013-14
202706,Jordan Hamilton,DEN,34.5,891,571,1.49,2013-14
202706,Jordan Hamilton,HOU,18.5,497,333,1.36,2013-14
202721,Darius Morris,PHI,29.9,423,188,3.93,2013-14
202721,Darius Morris,LAC,9.2,109,36,4.6,2013-14
202721,Darius Morris,MEM,13.7,143,62,5.98,2013-14
202730,Lavoy Allen,PHI,45.9,1886,1056,0.26,2013-14
202730,Lavoy Allen,IND,3.9,164,91,0.28,2013-14
202952,Malcolm Thomas,SAS,0.6,29,13,0.34,2013-14
202952,Malcolm Thomas,UTA,2.7,95,44,0.41,2013-14
203099,Jared Cunningham,ATL,0.9,26,24,0.69,2013-14
203099,Jared Cunningham,SAC,7.3,85,29,5.2,2013-14
203104,Marquis Teague,CHI,53.6,561,214,5.84,2013-14
203104,Marquis Teague,BKN,43.5,397,123,6.5,2013-14
203112,Quincy Acy,TOR,2.7,114,59,0.22,2013-14
203112,Quincy Acy,SAC,28.9,1087,524,0.26,2013-14
203120,Justin Hamilton,CHA,0.0,2,0,0.0,2013-14
203120,Justin Hamilton,MIA,2.6,92,60,0.64,2013-14
203145,Kent Bazemore,GSW,34.8,452,220,3.89,2013-14
203145,Kent Bazemore,LAL,57.6,1064,609,2.57,2013-14
203156,Henry Sims,CLE,4.4,190,119,0.26,2013-14
203156,Henry Sims,PHI,30.6,1126,744,0.36,2013-14
203263,James Nunnally,ATL,2.1,60,44,1.15,2013-14
203263,James Nunnally,PHI,3.9,112,85,1.17,2013-14
203473,Dewayne Dedmon,GSW,0.3,9,3,0.33,2013-14
203473,Dewayne Dedmon,PHI,5.8,227,108,0.29,2013-14
203473,Dewayne Dedmon,ORL,7.7,342,136,0.25,2013-14
203480,James Southerland,CHA,0.1,5,4,0.0,2013-14
203480,James Southerland,NOP,1.2,40,24,0.88,2013-14
203519,Adonis Thomas,ORL,0.7,20,14,0.95,2013-14
203519,Adonis Thomas,PHI,0.6,18,14,1.17,2013-14
203552,Seth Curry,MEM,0.2,5,2,1.6,2013-14
203552,Seth Curry,CLE,0.9,14,10,4.07,2013-14
708,Kevin Garnett,BKN,41.2,1799,871,0.24,2014-15
708,Kevin Garnett,MIN,4.7,214,113,0.17,2014-15
1889,Andre Miller,WAS,143.8,1669,661,4.77,2014-15
1889,Andre Miller,SAC,140.5,1478,495,5.53,2014-15
2405,Amar'e Stoudemire,NYK,51.8,1540,850,0.44,2014-15
2405,Amar'e Stoudemire,DAL,17.4,505,323,0.56,2014-15
2419,Tayshaun Prince,MEM,32.7,893,623,0.97,2014-15
2419,Tayshaun Prince,BOS,11.0,307,218,1.07,2014-15
2419,Tayshaun Prince,DET,36.3,942,565,0.99,2014-15
2570,Kendrick Perkins,OKC,44.8,1478,756,0.37,2014-15
2570,Kendrick Perkins,CLE,9.8,267,133,0.53,2014-15
2590,Mo Williams,MIN,292.1,2879,848,6.31,2014-15
2590,Mo Williams,CHA,180.4,2065,842,5.55,2014-15
2746,Josh Smith,DET,66.2,1820,1117,0.97,2014-15
2746,Josh Smith,HOU,86.5,2370,1332,1.07,2014-15
2747,JR Smith,NYK,66.9,1333,983,2.16,2014-15
2747,JR Smith,CLE,81.5,1855,1281,1.89,2014-15
2749,Jameer Nelson,DAL,100.1,1417,521,4.25,2014-15
2749,Jameer Nelson,BOS,21.7,264,87,5.24,2014-15
2749,Jameer Nelson,DEN,135.3,1454,547,5.86,2014-15
101126,Nate Robinson,DEN,79.5,951,390,5.05,2014-15
101126,Nate Robinson,LAC,21.3,256,115,4.97,2014-15
101183,Shavlik Randolph,PHX,3.3,129,79,0.36,2014-15
101183,Shavlik Randolph,BOS,0.9,41,27,0.36,2014-15
200761,Shawne Williams,MIA,40.2,1502,780,0.45,2014-15
200761,Shawne Williams,DET,7.1,276,147,0.55,2014-15
200765,Rajon Rondo,BOS,152.9,1982,714,4.18,2014-15
200765,Rajon Rondo,DAL,254.4,3449,1169,3.93,2014-15
200779,Steve Novak,UTA,4.4,184,118,0.31,2014-15
200779,Steve Novak,OKC,2.5,105,67,0.24,2014-15
200811,Lou Amundson,CLE,2.7,117,52,0.33,2014-15
200811,Lou Amundson,NYK,43.6,1586,829,0.49,2014-15
201145,Jeff Green,BOS,62.4,1634,1188,1.28,2014-15
201145,Jeff Green,MEM,84.0,2046,1552,1.22,2014-15
201147,Corey Brewer,MIN,47.5,992,621,2.14,2014-15
201147,Corey Brewer,HOU,61.7,1926,1437,1.25,2014-15
201148,Brandan Wright,DAL,14.2,618,371,0.29,2014-15
201148,Brandan Wright,BOS,2.9,104,65,0.67,2014-15
201148,Brandan Wright,PHX,28.0,1047,577,0.44,2014-15
201152,Thaddeus Young,MIN,105.6,3345,1737,0.68,2014-15
201152,Thaddeus Young,BKN,45.8,1472,723,0.74,2014-15
201167,Arron Afflalo,DEN,91.7,2065,1544,1.97,2014-15
201167,Arron Afflalo,POR,34.5,856,631,1.59,2014-15
201196,Ramon Sessions,SAC,142.7,1614,606,4.98,2014-15
201196,Ramon Sessions,WAS,93.4,1206,489,4.09,2014-15
201229,Anthony Tolliver,PHX,7.7,380,223,0.2,2014-15
201229,Anthony Tolliver,DET,41.6,1871,895,0.29,2014-15
201571,D.J. Augustin,DET,331.8,3243,1078,6.95,2014-15
201571,D.J. Augustin,OKC,101.8,1224,517,5.39,2014-15
201580,JaVale McGee,DEN,5.1,245,111,0.22,2014-15
201580,JaVale McGee,PHI,2.4,82,47,0.43,2014-15
201609,Goran Dragic,PHX,218.9,3260,1732,3.73,2014-15
201609,Goran Dragic,MIA,172.1,2184,950,4.66,2014-15
201948,Austin Daye,SAS,14.3,485,322,0.79,2014-15
201948,Austin Daye,ATL,3.6,110,75,0.93,2014-15
201973,Jonas Jerebko,DET,32.8,1241,718,0.48,2014-15
201973,Jonas Jerebko,BOS,21.9,870,518,0.51,2014-15
201977,Marcus Thornton,BOS,35.3,880,690,2.02,2014-15
201977,Marcus Thornton,PHX,5.9,132,84,2.02,2014-15
202087,Alonzo Gee,DEN,20.6,565,431,1.39,2014-15
202087,Alonzo Gee,POR,6.0,189,140,1.09,2014-15
202343,Elliot Williams,UTA,4.9,95,64,2.14,2014-15
202343,Elliot Williams,NOP,4.5,90,71,2.33,2014-15
202347,Quincy Pondexter,MEM,22.0,618,499,1.18,2014-15
202347,Quincy Pondexter,NOP,56.4,1467,1007,1.41,2014-15
202389,Timofey Mozgov,DEN,33.9,1366,656,0.25,2014-15
202389,Timofey Mozgov,CLE,39.9,1503,811,0.37,2014-15
202390,Gary Neal,CHA,80.4,1530,1214,2.32,2014-15
202390,Gary Neal,MIN,14.7,347,262,1.74,2014-15
202397,Ish Smith,OKC,28.1,329,112,5.07,2014-15
202397,Ish Smith,PHI,148.6,1760,613,5.2,2014-15
202498,Lance Thomas,OKC,15.1,474,386,0.53,2014-15
202498,Lance Thomas,NYK,55.6,1600,1343,0.65,2014-15
202683,Enes Freedom,UTA,78.3,2749,1838,0.34,2014-15
202683,Enes Freedom,OKC,39.5,1491,822,0.34,2014-15
202688,Brandon Knight,MIL,331.4,3824,1430,5.6,2014-15
202688,Brandon Knight,PHX,57.3,748,308,4.72,2014-15
202697,Iman Shumpert,NYK,62.3,1355,974,2.1,2014-15
202697,Iman Shumpert,CLE,48.4,1066,692,2.09,2014-15
202704,Reggie Jackson,OKC,248.9,2888,1172,5.01,2014-15
202704,Reggie Jackson,DET,231.0,2252,710,6.24,2014-15
202708,Norris Cole,MIA,203.7,2644,1064,4.47,2014-15
202708,Norris Cole,NOP,143.2,1483,529,5.85,2014-15
202713,Kyle Singler,DET,53.8,1787,1120,0.75,2014-15
202713,Kyle Singler,OKC,12.8,438,326,0.66,2014-15
202738,Isaiah Thomas,PHX,213.2,2628,1027,4.79,2014-15
202738,Isaiah Thomas,BOS,122.4,1416,581,5.17,2014-15
203079,Dion Waiters,CLE,61.1,1152,813,2.55,2014-15
203079,Dion Waiters,OKC,95.2,1688,1265,2.64,2014-15
203080,Thomas Robinson,POR,14.9,509,223,0.58,2014-15
203080,Thomas Robinson,PHI,29.7,951,505,0.74,2014-15
203085,Austin Rivers,NOP,119.0,1302,543,5.47,2014-15
